,County_Name,population,pop_below_poverty,pct_below_poverty,Earnings by place of work,Employee and self-employed contributions for government social insurance,Employer contributions for employee pension and insurance funds 8,Employer contributions for government social insurance,Equals: Net earnings by place of residence,Farm income 2,Farm proprietors' income,Less: Contributions for government social insurance 5,Nonfarm personal income 1,Nonfarm proprietors' income,Per capita personal income (dollars) 4,Personal income (thousands of dollars),Plus: Adjustment for residence 6,"Plus: Dividends, interest, and rent 7",Plus: Personal current transfer receipts,Population (persons) 3,Proprietors employment,Proprietors' income 9,Supplements to wages and salaries,Total employment,Wage and salary employment,Wages and salaries,year,Employment_Accommodation,Employment_Accommodation_and_Food_Services,Employment_Administrative_and_Support_Services,Employment_Administrative_and_Support_and_Waste_Management_and_Remediation_Services,"Employment_Agriculture,_Forestry,_Fishing_and_Hunting",Employment_Air_Transportation,Employment_Ambulatory_Health_Care_Services,"Employment_Amusement,_Gambling,_and_Recreation_Industries",Employment_Apparel_Manufacturing,"Employment_Arts,_Entertainment,_and_Recreation",Employment_Beverage_and_Tobacco_Product_Manufacturing,Employment_Broadcasting_(except_Internet),Employment_Building_Material_and_Garden_Equipment_and_Supplies_Dealers,Employment_Chemical_Manufacturing,Employment_Clothing_and_Clothing_Accessories_Stores,Employment_Computer_and_Electronic_Product_Manufacturing,Employment_Construction,Employment_Construction_of_Buildings,Employment_Couriers_and_Messengers,Employment_Credit_Intermediation_and_Related_Activities,"Employment_Data_Processing,_Hosting,_and_Related_Services",Employment_Educational_Services,"Employment_Electrical_Equipment,_Appliance,_and_Component_Manufacturing",Employment_Electronics_and_Appliance_Stores,Employment_Fabricated_Metal_Product_Manufacturing,Employment_Finance_and_Insurance,"Employment_Fishing,_Hunting_and_Trapping",Employment_Food_Manufacturing,Employment_Food_Services_and_Drinking_Places,Employment_Food_and_Beverage_Stores,Employment_Forestry_and_Logging,"Employment_Funds,_Trusts,_and_Other_Financial_Vehicles",Employment_Furniture_and_Home_Furnishings_Stores,Employment_Furniture_and_Related_Product_Manufacturing,Employment_Gasoline_Stations,Employment_General_Merchandise_Stores,Employment_Health_Care_and_Social_Assistance,Employment_Health_and_Personal_Care_Stores,Employment_Heavy_and_Civil_Engineering_Construction,Employment_Hospitals,Employment_Industries_not_classified,Employment_Information,Employment_Insurance_Carriers_and_Related_Activities,Employment_Lessors_of_Nonfinancial_Intangible_Assets_(except_Copyrighted_Works),Employment_Machinery_Manufacturing,Employment_Management_of_Companies_and_Enterprises,Employment_Manufacturing,"Employment_Merchant_Wholesalers,_Durable_Goods","Employment_Merchant_Wholesalers,_Nondurable_Goods",Employment_Mining_(except_Oil_and_Gas),"Employment_Mining,_Quarrying,_and_Oil_and_Gas_Extraction",Employment_Miscellaneous_Manufacturing,Employment_Miscellaneous_Store_Retailers,Employment_Motion_Picture_and_Sound_Recording_Industries,Employment_Motor_Vehicle_and_Parts_Dealers,"Employment_Museums,_Historical_Sites,_and_Similar_Institutions",Employment_Nonmetallic_Mineral_Product_Manufacturing,Employment_Nonstore_Retailers,Employment_Nursing_and_Residential_Care_Facilities,Employment_Other_Information_Services,Employment_Other_Services_(except_Public_Administration),Employment_Paper_Manufacturing,"Employment_Performing_Arts,_Spectator_Sports,_and_Related_Industries",Employment_Personal_and_Laundry_Services,Employment_Petroleum_and_Coal_Products_Manufacturing,Employment_Pipeline_Transportation,Employment_Plastics_and_Rubber_Products_Manufacturing,Employment_Primary_Metal_Manufacturing,Employment_Printing_and_Related_Support_Activities,"Employment_Professional,_Scientific,_and_Technical_Services",Employment_Publishing_Industries_(except_Internet),Employment_Real_Estate,Employment_Real_Estate_and_Rental_and_Leasing,"Employment_Religious,_Grantmaking,_Civic,_Professional,_and_Similar_Organizations",Employment_Rental_and_Leasing_Services,Employment_Repair_and_Maintenance,Employment_Retail_Trade,Employment_Scenic_and_Sightseeing_Transportation,"Employment_Securities,_Commodity_Contracts,_and_Other_Financial_Investments_and_Related_Activities",Employment_Social_Assistance,Employment_Specialty_Trade_Contractors,"Employment_Sporting_Goods,_Hobby,_Musical_Instrument,_and_Book_Stores",Employment_Support_Activities_for_Agriculture_and_Forestry,Employment_Support_Activities_for_Mining,Employment_Support_Activities_for_Transportation,Employment_Telecommunications,Employment_Textile_Mills,Employment_Textile_Product_Mills,Employment_Total,Employment_Transit_and_Ground_Passenger_Transportation,Employment_Transportation_Equipment_Manufacturing,Employment_Transportation_and_Warehousing,Employment_Truck_Transportation,Employment_Utilities,Employment_Warehousing_and_Storage,Employment_Waste_Management_and_Remediation_Services,Employment_Water_Transportation,Employment_Wholesale_Electronic_Markets_and_Agents_and_Brokers,Employment_Wholesale_Trade,Employment_Wood_Product_Manufacturing
21,Clarke County,"14,176","1,080",7.60%,303632,22004,30811,28680,606319,2828,-1001,36344,969580,58243,66713,972408,339031,234620,131469,14576,2606,57242,45151,6973,4367,201239,2019,,212.0,86.0,98.0,11.0,,75.0,18.0,,19.0,,,18.0,,,,373.0,107.0,,,,510.0,,,31.0,83.0,,,165.0,51.0,,,,,78.0,,404.0,,172.0,,,12.0,10.0,,,,471.0,115.0,12.0,,,,18.0,,,,,68.0,161.0,,262.0,,,80.0,,,,,,242.0,,34.0,36.0,164.0,,18.0,274.0,,,168.0,94.0,,11.0,,,,,,2793.0,,,28.0,27.0,,,,,,128.0,
22,Craig County,"5,094",451,8.90%,45137,4865,6589,4202,107791,-1451,-1956,6966,200429,7876,38810,198978,69620,35685,55502,5127,642,5920,8690,1452,810,30527,2019,,23.0,9.0,9.0,4.0,,,,,,,,,,,,25.0,,,,,,,,,26.0,,,10.0,100.0,,,,,,,50.0,,,,,,,,,,,8.0,,,,,,,,,,,,,20.0,,,,,,,,,26.0,,,,10.0,,8.0,143.0,,,,15.0,,,,,,,,378.0,,,,,,,,,,13.0,
23,Culpeper County,"49,323","3,843",7.80%,1169965,79429,133658,115120,1645902,3341,-2054,136989,2494940,183565,47386,2498281,612926,414541,437838,52722,6562,181511,191218,23843,17281,797236,2019,117.0,1713.0,435.0,479.0,18.0,,492.0,357.0,,360.0,7.0,,357.0,,92.0,,925.0,175.0,,174.0,,178.0,,18.0,,253.0,,64.0,1596.0,451.0,15.0,,25.0,231.0,141.0,570.0,2324.0,117.0,65.0,,,771.0,50.0,,,120.0,1141.0,251.0,366.0,58.0,60.0,,105.0,,420.0,,32.0,94.0,669.0,,794.0,,,379.0,,,,,,1150.0,22.0,96.0,223.0,263.0,127.0,152.0,2447.0,,29.0,401.0,685.0,57.0,3.0,,30.0,116.0,,,13167.0,33.0,,215.0,146.0,,,44.0,,22.0,639.0,183.0
24,Cumberland County,"9,749","1,738",17.80%,86337,8128,11270,7314,219094,6230,5192,11785,374119,15992,38161,380349,144542,52260,108995,9967,1028,21184,14927,2404,1376,50226,2019,,65.0,19.0,33.0,36.0,,,,,,,,24.0,,,,103.0,25.0,,15.0,,,,,,19.0,,,65.0,37.0,36.0,,,,35.0,,71.0,,,,,14.0,,,,,105.0,,,,,,,,39.0,,,,,,34.0,,,,,,,,,46.0,,9.0,9.0,16.0,,17.0,164.0,,,32.0,71.0,,,,,,,,771.0,,,74.0,49.0,,,,,,,
25,Dickenson County,"14,272","3,665",25.70%,209001,19685,31731,21944,205200,-354,-421,30657,479579,9635,33524,479225,26856,54857,219168,14295,703,9214,42703,4475,3772,157084,2019,,215.0,49.0,50.0,21.0,,96.0,,,,,,,,,,96.0,7.0,,43.0,,,,,,65.0,,,203.0,152.0,21.0,,,,108.0,,320.0,59.0,59.0,,,15.0,22.0,,,,21.0,,13.0,,178.0,,7.0,,32.0,,,,,,73.0,,,21.0,,,,,,670.0,,,,19.0,,33.0,433.0,,,71.0,30.0,,,,,,,,1972.0,,,107.0,100.0,,,,,,24.0,
26,Dinwiddie County,"27,832","3,371",12.10%,1856197,129819,238657,210662,1650933,-2502,-3632,235150,3112517,65660,40661,3110015,29886,477328,981754,76486,6963,62028,343988,41676,34713,1450181,2019,23.0,364.0,113.0,142.0,34.0,,76.0,,,81.0,,,44.0,,,,426.0,48.0,,64.0,,88.0,,,,78.0,,,341.0,245.0,33.0,,,,120.0,,1368.0,52.0,28.0,,6.0,,14.0,,,,708.0,40.0,,,46.0,,,,48.0,,,,191.0,,234.0,,,59.0,,,,,,92.0,,19.0,76.0,84.0,57.0,91.0,548.0,,,53.0,350.0,,,,73.0,,,,5814.0,,,1499.0,374.0,,1052.0,29.0,,,91.0,
27,Essex County,"10,921","1,835",16.80%,192916,15735,24431,20744,238063,-3699,-4518,26107,471169,18773,42746,467470,71254,97329,132078,10936,1289,14255,34803,5178,3889,143858,2019,36.0,517.0,112.0,112.0,14.0,,169.0,14.0,,17.0,,,153.0,,47.0,,95.0,21.0,,82.0,,86.0,,,,116.0,,,481.0,108.0,,,22.0,9.0,56.0,280.0,579.0,42.0,,,,27.0,30.0,,,,506.0,48.0,23.0,,,,33.0,,106.0,,,,,,171.0,,,26.0,,,,,,162.0,,4.0,22.0,76.0,18.0,69.0,848.0,,,80.0,70.0,,,,,,,,3310.0,,,43.0,12.0,,,,,,71.0,188.0
28,Fairfax County,"1,135,370","69,450",6.10%,86066941,5166567,7675958,8914642,71279737,14822,12854,9623888,102379618,6387410,86031,102394440,-5163316,24048682,7066021,1190204,189384,6400264,12133279,935200,745816,67533398,2019,5091.0,47190.0,61193.0,62234.0,163.0,45.0,33402.0,6811.0,49.0,10637.0,334.0,767.0,3889.0,245.0,7886.0,1257.0,28896.0,7960.0,2750.0,21529.0,12749.0,27490.0,,1359.0,298.0,31021.0,,565.0,42099.0,11484.0,,,2069.0,230.0,1672.0,7878.0,66535.0,2872.0,2860.0,13298.0,39.0,40137.0,5817.0,524.0,30.0,37898.0,5804.0,12047.0,2889.0,50.0,81.0,745.0,2484.0,808.0,6261.0,735.0,287.0,1648.0,7157.0,2023.0,24341.0,,3091.0,7253.0,,,71.0,,1447.0,437350.0,13271.0,9222.0,11348.0,12632.0,1602.0,4456.0,51262.0,21.0,3674.0,12678.0,18076.0,1760.0,163.0,,1301.0,10519.0,,139.0,656234.0,2186.0,35.0,8696.0,1922.0,2750.0,266.0,1041.0,198.0,170.0,15106.0,
29,Fauquier County,"69,367","4,030",5.80%,1921075,125435,197482,177416,3380659,11507,97,214143,5116670,348058,71927,5128177,1673727,1189989,557529,71297,12218,348155,286190,36841,24623,1286730,2019,331.0,2489.0,606.0,675.0,58.0,7.0,1019.0,156.0,,306.0,261.0,,343.0,,142.0,88.0,2686.0,573.0,,643.0,,1016.0,,31.0,26.0,841.0,,27.0,2158.0,651.0,,,58.0,102.0,327.0,415.0,2617.0,169.0,298.0,,7.0,196.0,152.0,,119.0,,996.0,302.0,161.0,58.0,58.0,11.0,154.0,,598.0,74.0,258.0,89.0,234.0,,1621.0,,76.0,292.0,,,,,24.0,4224.0,55.0,188.0,225.0,857.0,37.0,472.0,3043.0,,46.0,283.0,1815.0,66.0,58.0,,109.0,18.0,,,19330.0,,,263.0,142.0,226.0,,69.0,,9.0,472.0,44.0
30,Floyd County,"15,605","1,613",10.30%,186821,17322,23033,18394,345484,-1201,-4552,26519,621266,33726,39255,620065,185182,107035,167546,15796,2560,29174,32230,6400,3840,125417,2019,26.0,159.0,119.0,119.0,19.0,,194.0,38.0,,52.0,53.0,,45.0,,,,262.0,126.0,,30.0,,32.0,,,,46.0,,77.0,133.0,152.0,17.0,,,16.0,75.0,54.0,685.0,,7.0,,,70.0,4.0,,,,464.0,15.0,17.0,,,,16.0,,17.0,,,32.0,,,161.0,,14.0,39.0,,,,,,142.0,,20.0,20.0,70.0,,52.0,405.0,,12.0,426.0,129.0,,,,,,,,2601.0,,,11.0,10.0,,,,,,32.0,24.0
31,Fluvanna County,"25,008","1,370",5.50%,321422,27505,40718,29124,752406,-975,-1511,42067,1246102,60048,45666,1245127,473051,252520,240201,27266,3196,58537,55280,7873,4677,207605,2019,,243.0,107.0,180.0,78.0,,73.0,,,12.0,,,28.0,,,,718.0,117.0,,18.0,,114.0,,,,31.0,,,224.0,141.0,75.0,,,,43.0,20.0,207.0,48.0,199.0,,,21.0,9.0,,,,144.0,137.0,,,,,,,,,,28.0,,,310.0,,,15.0,,,,,,184.0,,33.0,33.0,271.0,,24.0,341.0,,,72.0,402.0,,,,,11.0,,,2787.0,,,45.0,39.0,196.0,,73.0,,4.0,172.0,
32,Franklin County,"54,395","7,869",14.50%,876246,72881,105317,88204,1256632,1186,-3344,116983,2351037,125793,41866,2352223,497369,494303,601288,56185,6595,122449,149419,22879,16284,604378,2019,62.0,1181.0,775.0,802.0,54.0,,444.0,149.0,,150.0,14.0,,381.0,5.0,58.0,,1264.0,294.0,,233.0,,1912.0,,,23.0,293.0,,210.0,1119.0,384.0,37.0,,141.0,81.0,227.0,340.0,1514.0,113.0,93.0,,,113.0,53.0,,,32.0,2954.0,336.0,121.0,,17.0,20.0,136.0,25.0,227.0,,36.0,41.0,385.0,,572.0,,,140.0,,,1922.0,,,658.0,37.0,55.0,90.0,237.0,35.0,195.0,2064.0,,7.0,376.0,877.0,10.0,17.0,,,44.0,,,13069.0,,,205.0,195.0,,,27.0,,3.0,460.0,358.0
33,Frederick County,"84,827","5,229",6.20%,4299769,271097,496876,447390,4056851,-5606,-9640,494792,6105645,447038,51907,6100039,251874,1075441,967747,117519,14139,437398,720571,76886,62747,3141800,2019,335.0,2454.0,812.0,890.0,,,511.0,138.0,,152.0,,,369.0,427.0,70.0,,1844.0,404.0,212.0,1917.0,,386.0,,,594.0,2029.0,,944.0,2119.0,732.0,,,50.0,87.0,480.0,961.0,1825.0,152.0,38.0,,,252.0,91.0,,,1186.0,5601.0,1266.0,418.0,,,,158.0,,647.0,9.0,68.0,101.0,1062.0,,1316.0,,5.0,404.0,,,1534.0,,454.0,1514.0,8.0,160.0,258.0,530.0,98.0,382.0,3789.0,,21.0,252.0,1402.0,61.0,,,197.0,105.0,,,26243.0,28.0,13.0,2374.0,925.0,,1012.0,78.0,,54.0,1738.0,198.0
34,Giles County,"16,552","1,683",10.20%,290150,23572,40730,30300,380791,-746,-1231,38722,675977,23773,40450,675231,129363,96446,197994,16693,1614,22542,55880,6521,4907,211728,2019,75.0,445.0,15.0,30.0,,,92.0,,,13.0,,,60.0,,,,173.0,28.0,,61.0,,,,,90.0,72.0,,,370.0,142.0,,,,,106.0,,488.0,46.0,,,,36.0,11.0,,,,887.0,44.0,,,,,20.0,,54.0,,,,,,220.0,,,30.0,,,,,,610.0,13.0,9.0,16.0,78.0,,112.0,649.0,,,27.0,145.0,,,,,23.0,,,3464.0,,,29.0,10.0,,,15.0,,,76.0,
35,Gloucester County,"36,948","3,251",8.80%,555980,44535,73089,55916,1144670,1419,798,72493,1882903,62794,50250,1884322,661183,357020,382632,37499,3844,63592,101047,14212,10368,391341,2019,47.0,1099.0,155.0,260.0,6.0,,453.0,150.0,,165.0,,,407.0,,118.0,,677.0,158.0,,159.0,,140.0,,15.0,19.0,232.0,,,1052.0,390.0,,,34.0,,198.0,437.0,1296.0,112.0,60.0,,,100.0,52.0,,,,161.0,45.0,52.0,,,,105.0,,305.0,,,129.0,339.0,,495.0,,6.0,161.0,,,,,,572.0,60.0,67.0,93.0,190.0,26.0,144.0,2262.0,,21.0,137.0,459.0,12.0,,,6.0,,,,7580.0,82.0,,195.0,105.0,106.0,,105.0,,,97.0,
36,Goochland County,"21,706","1,133",5.20%,2395438,146525,180627,228208,1440807,-2301,-3852,260629,2494253,193746,104052,2491952,-694002,808089,243056,23949,4723,189894,294731,23430,18707,1910813,2019,,596.0,544.0,629.0,20.0,,155.0,545.0,,560.0,36.0,,53.0,,7.0,,1011.0,165.0,37.0,4956.0,,290.0,,,21.0,6028.0,,,593.0,214.0,10.0,,,,174.0,,470.0,18.0,308.0,,,13.0,691.0,,,11822.0,216.0,397.0,34.0,,81.0,44.0,,,148.0,9.0,,23.0,,,501.0,,6.0,155.0,,,,,,674.0,,128.0,150.0,263.0,,83.0,725.0,,50.0,46.0,538.0,3.0,10.0,,38.0,,,,18668.0,,,748.0,662.0,,,85.0,,33.0,464.0,
37,Grayson County,"14,699","3,076",20.90%,151162,16977,26083,16058,236965,-12549,-14128,25006,511870,21341,32061,499321,110809,78208,184148,15574,1966,7213,34112,5514,3548,109837,2019,,114.0,154.0,154.0,,,58.0,2.0,,4.0,,,,,,,38.0,7.0,,97.0,,,,,,103.0,,,111.0,59.0,,,,28.0,32.0,,173.0,,4.0,,,18.0,6.0,,,,345.0,5.0,4.0,,,,,,7.0,,,,,,39.0,,,,,,,,,34.0,,5.0,7.0,23.0,,11.0,160.0,,,,27.0,,,,,,,,1403.0,,,128.0,85.0,,,,,,9.0,176.0
38,Greene County,"19,372","1,231",6.40%,257758,20545,27173,22644,587744,881,-17,31867,915063,61687,46025,915944,361853,153769,174431,19901,2405,61670,38495,6527,4122,157593,2019,63.0,377.0,282.0,329.0,,,72.0,,,39.0,,,196.0,,,,301.0,71.0,,32.0,,222.0,,,,48.0,,,314.0,109.0,,,,,61.0,240.0,212.0,,22.0,,,13.0,8.0,,,,56.0,50.0,3.0,,,,34.0,,80.0,,,10.0,,,149.0,,,74.0,,,,,,272.0,,15.0,18.0,30.0,,45.0,763.0,,8.0,39.0,208.0,,,,,,,,2735.0,47.0,,91.0,40.0,,,,,3.0,56.0,
39,Greensville County,"8,244","1,259",15.30%,421851,28557,62323,46496,286421,4724,3809,51805,537703,5801,32485,542427,-83625,68696,187310,16698,1195,9610,85571,9252,8057,326670,2019,92.0,148.0,16.0,16.0,,,,,,,,,,,31.0,,29.0,11.0,,,,,,,,10.0,,,,,,,,,128.0,,,,,,,,,,,,883.0,18.0,,,,,,,,,,,,,46.0,,,,,,,,,,,9.0,19.0,19.0,,25.0,256.0,,,,17.0,,,,,,,,2215.0,,,553.0,511.0,,,,,,35.0,
40,Halifax County,"33,807","4,690",13.90%,703259,54245,98567,75702,634012,-378,-3664,92096,1264445,49861,37140,1264067,22849,200627,429428,34035,3212,46197,136418,16289,13077,520644,2019,91.0,815.0,367.0,387.0,144.0,,682.0,68.0,,292.0,,,184.0,,66.0,,495.0,101.0,,127.0,,350.0,,13.0,54.0,201.0,,,724.0,272.0,137.0,,29.0,,146.0,398.0,1717.0,76.0,80.0,,,118.0,66.0,,,,1938.0,139.0,113.0,,,,74.0,,131.0,,25.0,,419.0,,395.0,,224.0,59.0,,,641.0,,,326.0,48.0,31.0,55.0,254.0,24.0,82.0,1403.0,,,157.0,314.0,,,,116.0,65.0,,,9883.0,,,1127.0,415.0,,596.0,20.0,,,252.0,276.0
41,Hanover County,"103,679","5,487",5.30%,3751465,241452,374746,384238,4545257,11958,5233,433571,6670373,452086,62141,6682331,1227363,1228771,908303,107535,15179,457319,566865,73913,58734,2727281,2019,274.0,4289.0,2905.0,2961.0,11.0,,2851.0,2319.0,,2378.0,41.0,,775.0,,183.0,41.0,5042.0,698.0,483.0,373.0,44.0,2592.0,90.0,101.0,602.0,893.0,,908.0,4015.0,1456.0,8.0,,107.0,140.0,609.0,1037.0,6414.0,540.0,532.0,,7.0,561.0,466.0,,417.0,4464.0,3705.0,3138.0,1884.0,79.0,79.0,302.0,358.0,11.0,1114.0,,183.0,205.0,1202.0,4.0,2468.0,344.0,48.0,683.0,,,,,63.0,3288.0,384.0,256.0,473.0,775.0,217.0,1010.0,6940.0,,54.0,1050.0,3812.0,455.0,3.0,,278.0,115.0,,,49245.0,30.0,,2092.0,819.0,,477.0,56.0,,731.0,5753.0,397.0
42,Henrico County,"324,392","29,673",9.10%,18779549,1135068,1555376,1688924,15750443,1721,685,1979530,22473581,4095433,67592,22475302,-1049576,4032916,2691943,332513,47548,4096118,2399838,256481,208933,12283593,2019,2148.0,17039.0,13620.0,13837.0,,1624.0,11847.0,2734.0,13.0,3087.0,299.0,132.0,1578.0,763.0,2977.0,51.0,8775.0,1580.0,340.0,12835.0,1800.0,4554.0,542.0,514.0,714.0,26668.0,,774.0,14891.0,5844.0,,,1113.0,149.0,910.0,3995.0,25484.0,1769.0,1520.0,3863.0,11.0,6018.0,13038.0,133.0,154.0,12960.0,5972.0,4711.0,5065.0,,3.0,479.0,1068.0,106.0,2561.0,95.0,189.0,852.0,5580.0,360.0,10405.0,293.0,258.0,2440.0,,,167.0,,1106.0,32514.0,582.0,2930.0,3855.0,6309.0,792.0,1656.0,24132.0,,795.0,4194.0,5675.0,951.0,,,792.0,3038.0,,21.0,187061.0,845.0,,5256.0,1332.0,2838.0,264.0,217.0,,296.0,10072.0,231.0
43,Henry County,"50,594","9,149",18.10%,1310069,103418,172207,139780,1195201,9901,9192,173308,2465140,98049,39183,2475041,58440,398799,881041,63167,4709,107241,242097,31483,26774,960731,2019,52.0,1012.0,508.0,526.0,,,222.0,156.0,,214.0,,,78.0,260.0,16.0,,448.0,98.0,,425.0,,218.0,,,198.0,468.0,,,960.0,349.0,,,34.0,304.0,270.0,184.0,804.0,,42.0,,,26.0,41.0,,19.0,,3315.0,410.0,517.0,,,,35.0,,434.0,,182.0,94.0,554.0,,590.0,184.0,,89.0,,,1001.0,,84.0,698.0,,36.0,103.0,334.0,67.0,167.0,1614.0,,2.0,28.0,308.0,,,,,5.0,430.0,,11033.0,9.0,,427.0,105.0,,313.0,18.0,,8.0,935.0,166.0
44,Highland County,"2,179",220,10.10%,31463,2823,4323,2508,32429,4225,3599,4077,91922,4080,44185,96147,5043,35985,27733,2176,649,7679,5577,1204,555,18207,2019,,24.0,,,17.0,,,,,,,,8.0,,,,42.0,26.0,,,,,,,,27.0,,,24.0,15.0,17.0,,,,8.0,,71.0,,,,,25.0,,,,,25.0,,,,,,,,,,,,,,21.0,,,,,,,,,44.0,,,,4.0,,11.0,42.0,,,18.0,16.0,,,,,,,,370.0,,,35.0,,,,,,,,
45,Isle of Wight County,"36,305","3,818",10.50%,710178,52627,79738,75320,1364882,11177,9595,90287,2080619,45769,55930,2091796,744991,345582,381332,37400,4227,55364,117398,15662,11435,537416,2019,103.0,1077.0,581.0,625.0,36.0,,245.0,143.0,,157.0,,,97.0,,,,525.0,74.0,,143.0,,242.0,,,,196.0,3.0,2978.0,974.0,486.0,,,,11.0,92.0,80.0,634.0,59.0,50.0,,,24.0,46.0,,,,3589.0,84.0,385.0,,,,59.0,,80.0,,,24.0,172.0,,497.0,458.0,,108.0,,,,,,590.0,,66.0,75.0,213.0,9.0,176.0,1025.0,,,217.0,401.0,,33.0,,13.0,,,,9975.0,,,240.0,47.0,96.0,,44.0,,,472.0,
46,James City County,"74,001","5,366",7.30%,2736840,188229,328421,290122,3209866,-3417,-4007,333290,5990310,235025,65176,5986893,806316,1782748,994279,91857,11830,231018,473482,58761,46931,2032340,2019,1241.0,3587.0,1696.0,1723.0,,,1336.0,3878.0,,3949.0,756.0,,107.0,,1278.0,,1609.0,602.0,,384.0,,396.0,,13.0,427.0,612.0,,,2346.0,1206.0,,,152.0,51.0,144.0,386.0,4033.0,205.0,244.0,1093.0,3.0,234.0,100.0,,,1138.0,2503.0,208.0,153.0,,,,213.0,,197.0,,343.0,111.0,1181.0,73.0,1385.0,,4.0,787.0,,,,,,3014.0,43.0,430.0,519.0,428.0,89.0,170.0,4136.0,,128.0,423.0,763.0,124.0,,,17.0,32.0,,,28207.0,32.0,8.0,1152.0,43.0,,1060.0,27.0,,24.0,385.0,
47,King and Queen County,"7,031",874,12.40%,74308,7029,9270,7110,185904,1361,425,10584,311081,12206,44565,312442,122180,49456,77082,7011,730,12631,12825,1906,1176,48852,2019,,51.0,17.0,30.0,64.0,,,,,,,,,,,,87.0,9.0,,,,,,,,,,,,,63.0,,,,50.0,,22.0,,46.0,,,,,,,,21.0,,44.0,,,,,,,,,,,,42.0,,,,,,,,,134.0,,5.0,5.0,31.0,,4.0,75.0,,,21.0,32.0,,,,,,,,634.0,,,46.0,46.0,,,,,,49.0,
48,King George County,"25,942","1,329",5.10%,1509430,83437,277093,170334,1013153,300,-121,168604,1487910,82079,55158,1488210,-327673,279401,195656,26981,2478,81958,362260,15892,13414,1065212,2019,56.0,532.0,101.0,198.0,36.0,,117.0,133.0,,150.0,,,41.0,,29.0,,336.0,45.0,,131.0,,12.0,,,,134.0,,,476.0,,,,,,182.0,257.0,329.0,,11.0,,,,,,,,90.0,12.0,144.0,,,,56.0,,127.0,,,,133.0,,221.0,,,78.0,,,,,,4296.0,,56.0,59.0,89.0,,54.0,890.0,,,79.0,280.0,,8.0,,10.0,,,,5469.0,,,170.0,160.0,,,97.0,,,157.0,
49,King William County,"16,610","1,400",8.40%,278696,21172,31332,29210,541457,-334,-927,35777,825855,28950,48001,825521,298538,129256,154808,17198,1882,28023,45937,6305,4423,204736,2019,,326.0,127.0,127.0,596.0,,209.0,51.0,,52.0,,,37.0,,,,491.0,13.0,,64.0,,,,3.0,,85.0,,,326.0,182.0,588.0,,,,70.0,,354.0,62.0,300.0,,,11.0,10.0,,,,519.0,35.0,24.0,,,,15.0,,53.0,,,15.0,,,148.0,,,32.0,,,,,,244.0,6.0,23.0,23.0,49.0,,67.0,485.0,,,95.0,178.0,,,,,,,,3501.0,,,67.0,50.0,,,,,,59.0,249.0
50,Lancaster County,"10,613","1,035",9.80%,278641,22778,30680,27430,233776,511,145,36493,643375,39393,60635,643886,-8372,246210,163900,10619,1931,39538,44395,6996,5065,194708,2019,100.0,505.0,84.0,90.0,23.0,,203.0,89.0,,92.0,,,80.0,,46.0,,297.0,61.0,,165.0,,70.0,,,,274.0,9.0,,405.0,131.0,,,17.0,,60.0,218.0,1032.0,61.0,29.0,,,60.0,82.0,,,,69.0,21.0,55.0,,,,27.0,,37.0,,,29.0,446.0,,264.0,,,55.0,,,,,,674.0,,24.0,28.0,113.0,,96.0,731.0,,27.0,49.0,207.0,,14.0,,,,,,4004.0,,,63.0,,,,,,,77.0,
51,Lee County,"22,348","5,694",25.50%,240052,24190,43395,24906,308684,-5621,-6478,36643,704859,24700,29704,699238,105275,88000,302554,23540,2242,18222,55848,6871,4629,165982,2019,,246.0,38.0,38.0,22.0,,207.0,,,,,,35.0,,,,207.0,,,152.0,,,,,,161.0,,,239.0,163.0,22.0,,11.0,,117.0,253.0,535.0,52.0,170.0,,,28.0,8.0,,,,116.0,23.0,30.0,24.0,28.0,,,,46.0,,,10.0,,,51.0,,,19.0,,,,,,170.0,,6.0,13.0,26.0,,6.0,694.0,,,160.0,29.0,,,,,,,,2386.0,,,58.0,50.0,,,,,,63.0,59.0
52,Loudoun County,"393,005","13,342",3.40%,17256444,1015671,1670915,1749314,26539255,9216,-2137,1890328,33402363,1588533,80535,33411579,11173139,5068759,1803565,414872,63185,1586396,2545572,254097,190912,13124476,2019,2004.0,17444.0,14522.0,14794.0,69.0,5628.0,6811.0,3323.0,,3981.0,737.0,,1550.0,71.0,3249.0,598.0,14225.0,2420.0,633.0,1953.0,2157.0,5906.0,26.0,380.0,306.0,3506.0,,415.0,15440.0,4296.0,,,768.0,206.0,832.0,3144.0,14567.0,927.0,1293.0,,18.0,10026.0,1234.0,37.0,442.0,7310.0,5729.0,2438.0,685.0,,593.0,598.0,829.0,579.0,2276.0,53.0,275.0,406.0,3154.0,1936.0,7626.0,,605.0,2317.0,,,,,263.0,62096.0,805.0,1053.0,1731.0,3055.0,641.0,2254.0,19356.0,,318.0,2701.0,10512.0,699.0,69.0,,4530.0,4121.0,,66.0,168351.0,1148.0,1473.0,13563.0,1434.0,190.0,170.0,272.0,,249.0,3372.0,124.0
