,GeoName,Earnings by place of work,Employee and self-employed contributions for government social insurance,Employer contributions for employee pension and insurance funds 8,Employer contributions for government social insurance,Equals: Net earnings by place of residence,Farm income 2,Farm proprietors' income,Less: Contributions for government social insurance 5,Nonfarm personal income 1,Nonfarm proprietors' income,Per capita personal income (dollars) 4,Personal income (thousands of dollars),Plus: Adjustment for residence 6,"Plus: Dividends, interest, and rent 7",Plus: Personal current transfer receipts,Population (persons) 3,Proprietors employment,Proprietors' income 9,Supplements to wages and salaries,Total employment,Wage and salary employment,Wages and salaries,year
68,"Northumberland, VA",37267,2196,3811,3406,48579,-2424,-2807,3899,105640,7533,10532,103216,15211,33300,21337,9800,1046,4726,5514,3384,2338,27027,1983
69,"Nottoway, VA",92897,4583,10723,11480,83015,308,-862,10323,143680,6745,9862,143988,441,31638,29335,14600,1217,5883,16463,6783,5566,70551,1983
70,"Orange, VA",94582,5127,8812,9314,116364,-1713,-3636,9784,198767,14255,10658,197054,31566,51000,29690,18489,1898,10619,13469,8051,6153,70494,1983
71,"Page, VA",82326,4375,7715,8356,113334,553,-665,8553,184459,10522,9375,185012,39561,38706,32972,19734,1702,9857,11893,7261,5559,60576,1983
72,"Patrick, VA",60134,3212,5540,5578,110730,1585,607,6001,161598,9093,9293,163183,56597,25377,27076,17559,2299,9700,8329,6400,4101,42105,1983
73,"Pittsylvania + Danville, VA*",762196,39596,69069,79526,749362,4826,312,79359,1097704,58715,9981,1102530,66525,182229,170939,110464,7693,59027,108832,51017,43324,594337,1983
74,"Portsmouth (Independent City), VA",1152685,37782,194303,90634,796915,0,0,83099,1227964,32025,11550,1227964,-272671,269185,161864,106319,4369,32025,239620,54366,49997,881040,1983
75,"Powhatan, VA",50608,2535,5625,4366,105864,718,-630,4718,143034,7695,10834,143752,59974,25619,12269,13269,845,7065,7808,3772,2927,35735,1983
76,"Prince Edward, VA",98715,5108,10016,9570,74511,786,-386,9893,130842,7966,7874,131628,-14311,30965,26152,16717,1320,7580,14801,8655,7335,76334,1983
77,"Prince George + Hopewell, VA*",588275,20554,102579,50496,353653,-447,-959,45802,529420,15590,10617,528973,-188820,121577,53743,49821,1632,14631,127827,24978,23346,445817,1983
78,"Prince William, Manassas + Manassas Park, VA*",1088906,50845,119224,103352,2158474,-90,-1040,102521,2742682,86450,14769,2742592,1172089,480538,103580,185702,7888,85410,170900,58989,51101,832596,1983
79,"Pulaski, VA",227378,11588,24395,23400,212409,2324,908,23288,322577,14093,9219,324901,8319,52676,59816,35242,1904,15001,36095,15219,13315,176282,1983
80,"Rappahannock, VA",17849,959,1265,1320,32890,290,-818,1619,59411,5782,9866,59701,16660,17859,8952,6051,854,4964,1925,2262,1408,10960,1983
81,"Richmond (Independent City), VA",4303327,211655,461803,433344,1906657,0,0,428327,3048191,170409,13998,3048191,-1968343,680061,461473,217758,25538,170409,678475,222924,197386,3454443,1983
82,"Richmond, VA",41364,2230,4354,3946,38376,-1227,-1554,4203,67855,4990,9632,66628,1215,16052,12200,6917,840,3436,6327,3381,2541,31601,1983
83,"Roanoke (Independent City), VA",1262670,64697,120237,145462,704593,0,0,137428,1143962,60926,11402,1143962,-420649,224077,215292,100328,10508,60926,192968,75617,65109,1008776,1983
84,"Roanoke + Salem, VA*",824815,40206,78778,85062,879031,306,-369,82737,1232282,65520,12608,1232588,136953,239952,113605,97760,4463,65151,121309,43968,39505,638355,1983
85,"Rockbridge, Buena Vista + Lexington, VA*",181740,9415,18490,18418,178304,463,-764,18624,284771,14685,8993,285234,15188,63078,43852,31719,2593,13921,27699,13630,11037,140120,1983
86,"Rockingham + Harrisonburg, VA*",589668,29353,58843,56914,513509,7067,-3425,57810,760460,59950,9645,767527,-18349,162394,91624,79575,8648,56525,87300,43301,34653,445843,1983
87,"Russell, VA",136563,6901,18046,14608,171549,1507,12,14205,268743,12851,8496,270250,49191,39896,58805,31809,2797,12863,25350,9449,6652,98350,1983
88,"Scott, VA",66066,3558,6662,5568,121876,3505,2880,6342,195103,10420,8007,198608,62152,34230,42502,24805,3436,13300,9446,7128,3692,43320,1983
89,"Shenandoah, VA",158337,8251,15419,15252,184489,782,-2220,15877,294283,19405,10378,295065,42029,66605,43971,28432,3089,17185,23045,13246,10157,118107,1983
90,"Smyth, VA",189574,9743,19944,17970,179281,1591,167,18728,284431,20666,8614,286022,8435,50904,55837,33205,2942,20833,28929,14571,11629,139812,1983
91,"Southampton + Franklin, VA*",107759,5891,11392,10620,126434,-2195,-4594,11201,224173,10448,8695,221978,29876,54277,41267,25530,1785,5854,16702,9496,7711,85203,1983
92,"Spotsylvania + Fredericksburg, VA*",357761,18411,32283,34432,480554,-311,-1183,35627,666869,38896,12577,666558,158420,123232,62772,52997,4314,37713,49499,25180,20866,270549,1983
93,"Stafford, VA",204275,9286,28090,19164,476310,-1303,-1634,18868,647925,21959,14418,646622,290903,133140,37172,44848,1866,20325,37672,11136,9270,146278,1983
94,"Suffolk (Independent City), VA",285969,14908,27652,28738,399950,555,-2111,29277,587801,19832,12289,588356,143258,104308,84098,47878,2337,17721,42021,18512,16175,226227,1983
95,"Surry, VA",55046,2917,5827,5746,32060,-2000,-2532,5790,56497,2464,9056,54497,-17196,13147,9290,6018,569,-68,8700,2599,2030,46414,1983
96,"Sussex, VA",38152,2223,3977,3672,58086,-3049,-4049,4059,103615,6772,9634,100566,23993,25391,17089,10439,792,2723,5813,3492,2700,29616,1983
97,"Tazewell, VA",254399,13135,27046,24106,284483,1658,823,25188,469155,29213,9228,470813,55272,84041,102289,51022,3485,30036,39099,16941,13456,185264,1983
98,Virginia,53078422,2421469,6309051,5047948,51511295,38787,-97615,4945443,74200199,3390104,13341,74238986,3378316,15607360,7120331,5564662,392505,3292489,8833025,2896818,2504313,40952908,1983
99,"Virginia Beach (Independent City), VA",2052696,91677,274794,196284,3345013,-332,-1635,189819,4584742,153193,15503,4584410,1482136,1016919,222478,295718,18826,151558,372936,130313,111487,1528202,1983
100,"Warren, VA",125896,6461,12965,11882,159370,318,-163,12402,241719,13454,10994,242037,45876,47950,34717,22015,1391,13291,18906,8548,7157,93699,1983
101,"Washington + Bristol, VA*",433303,21923,45089,42200,392343,1412,-2166,43023,608585,36035,9368,609997,2063,114995,102659,65113,6536,33869,66189,31905,25369,333245,1983
102,"Westmoreland, VA",40973,2303,4283,3352,75412,155,-1741,3979,140452,8298,9842,140607,38418,38043,27152,14286,1267,6557,5959,4703,3436,28457,1983
103,"Wise + Norton, VA*",445854,21449,59461,42894,338651,99,11,42896,519404,57408,10773,519503,-64307,77143,103709,48223,2791,57419,80908,20015,17224,307527,1983
104,"Wythe, VA",130322,6572,13003,12084,145296,5433,3542,12614,230132,11858,9237,235565,27588,45360,44909,25503,2465,15400,19045,10740,8275,95877,1983
105,"York + Poquoson, VA*",256477,9899,39278,21086,492404,944,117,20442,688742,20077,14943,689686,256369,155557,41725,46154,1983,20194,49821,13749,11766,186462,1983
0,"Accomack, VA",205063,9439,22445,17438,173988,11893,6984,18158,299346,24766,10016,311239,-12917,81085,56166,31074,2726,31750,31164,14890,12164,142149,1984
1,"Albemarle + Charlottesville, VA*",1167711,58265,117972,118728,874142,1192,-2279,117629,1371048,82366,13776,1372240,-175940,369738,128360,99612,8004,80087,177336,67762,59758,910288,1984
2,"Alexandria (Independent City), VA",2015428,87249,233125,191440,1763244,0,0,182969,2606276,96861,23645,2606276,-69215,684772,158260,110226,12646,96861,328845,90869,78223,1589722,1984
3,"Alleghany + Covington, VA*",220933,11975,20707,28412,173772,32,-63,26181,280611,13282,10531,280643,-20980,51785,55086,26649,1517,13219,34913,11473,9956,172801,1984
4,"Amelia, VA",36851,1619,2619,2618,63275,7378,5968,2928,84756,6601,11252,92134,29352,16695,12164,8188,909,12569,3928,2936,2027,20354,1984
5,"Amherst, VA",163249,8711,16620,16808,183241,-33,-435,17115,280252,15833,9687,280219,37107,56752,40226,28926,1733,15398,25024,10492,8759,122827,1984
6,"Appomattox, VA",60895,3231,5636,6160,80811,385,-47,6311,122375,8589,10160,122760,26227,23122,18827,12083,996,8542,8716,4792,3796,43637,1984
7,"Arlington, VA",5633279,211372,806163,507246,2566337,0,0,464995,3905780,192008,23938,3905780,-2601947,1138874,200569,163163,15086,192008,1059786,181837,166751,4381485,1984
8,"Augusta, Staunton + Waynesboro, VA*",819709,41806,77350,83678,726602,11926,6937,83645,1094566,68379,12058,1106492,-9462,234409,145481,91764,7735,75316,119189,46741,39006,625204,1984
9,"Bath, VA",104906,5406,8566,11588,49370,195,-82,11200,75876,2556,14100,76071,-44336,16218,10483,5395,488,2474,14360,4674,4186,88072,1984
10,"Bedford, VA*",181181,9913,16500,17904,365142,-827,-2504,18865,538899,26562,12152,538072,202826,109728,63202,44277,3992,24058,25452,14090,10098,131671,1984
11,"Bland, VA",25933,1376,2550,2496,36942,1249,859,2624,55114,3195,8749,56363,13633,9717,9704,6442,735,4054,3798,2112,1377,18081,1984
12,"Botetourt, VA",94289,5166,8336,11938,201591,742,-479,11135,284868,16181,12227,285610,118437,52160,31859,23359,2062,15702,14305,6498,4436,64282,1984
13,"Brunswick, VA",79178,3948,7190,7306,89074,6608,4827,7601,136670,9260,8973,143278,17497,27734,26470,15968,1270,14087,10843,6203,4933,54248,1984
14,"Buchanan, VA",407826,19474,47260,38930,275718,262,242,38939,397970,76364,10942,398232,-93169,54570,67944,36396,1955,76606,66725,14308,12353,264495,1984
15,"Buckingham, VA",46207,2464,4475,4018,70434,1724,1280,4473,112430,7046,9148,114154,28700,22457,21263,12479,1015,8326,6484,3616,2601,31397,1984
16,"Campbell + Lynchburg, VA*",1318266,67416,121861,142314,874815,3534,2306,138573,1353405,74748,12011,1356939,-304878,274609,207515,112974,6757,77054,193018,70610,63853,1048194,1984
17,"Caroline, VA",76849,3573,8274,6416,142008,4939,4343,6781,202531,10787,11338,207470,71940,39196,26266,18299,1004,15130,11482,4772,3768,50237,1984
18,"Carroll + Galax, VA*",200867,10692,19223,20802,186045,2368,1149,21093,311892,21524,9241,314260,6271,59808,68407,34007,3447,22673,29624,16470,13023,148570,1984
19,"Charles City, VA",12085,622,1188,968,50889,997,627,1106,69512,2275,10776,70509,39910,12008,7612,6543,231,2902,1672,966,735,7511,1984
20,"Charlotte, VA",48910,2516,4010,4418,64639,4638,3109,4725,103479,7962,9072,108117,20454,23583,19895,11918,1612,11071,6219,4624,3012,31620,1984
21,"Chesapeake (Independent City), VA",656963,33979,62515,69618,1339279,3771,1610,68788,1759941,57096,14200,1763712,751104,284343,140090,124209,5770,58706,97324,39027,33257,500933,1984
22,"Chesterfield, VA",1249588,59344,128224,123744,2068062,1289,839,121216,2591034,95416,16204,2592323,939690,400615,123646,159979,9571,96255,190096,63434,53863,963237,1984
23,"Clarke, VA",72278,3470,6791,6594,102008,1533,-949,6767,151719,11006,14293,153252,36497,37218,14026,10722,1558,10057,10088,5604,4046,52133,1984
24,"Craig, VA",9173,510,970,834,26045,374,219,927,41389,1640,10226,41763,17799,9282,6436,4084,419,1859,1387,994,575,5927,1984
25,"Culpeper, VA",160933,8292,15975,15794,195426,1655,-800,16189,292972,17837,12609,294627,50682,63880,35321,23366,2276,17037,23872,11214,8938,120024,1984
26,"Cumberland, VA",23064,970,1417,1298,46116,6094,5075,1619,68366,5617,9487,74460,24671,14530,13814,7849,679,10692,2066,1812,1133,10306,1984
27,"Dickenson, VA",161540,7938,17954,14870,143205,108,79,15373,212553,33952,10713,212661,-2962,26502,42954,19851,923,34031,25389,5743,4820,102120,1984
28,"Dinwiddie, Colonial Heights + Petersburg, VA*",509125,26542,54427,51734,584092,5232,4091,52409,944116,44647,12255,949348,127376,201391,163865,77466,4014,48738,80294,31997,27983,380093,1984
29,"Essex, VA",51310,2694,4394,4838,52823,1442,681,5113,92153,6981,10561,93595,6626,24457,16315,8862,920,7662,6813,4380,3460,36835,1984
30,"Fairfax, Fairfax City + Falls Church, VA*",8538071,391129,800310,820738,11493348,1294,-120,801498,15192688,669621,21194,15193982,3756775,3170340,530294,716913,56790,669501,1210679,385912,329122,6657891,1984
31,"Fauquier, VA",235090,11018,24352,20292,444791,2841,-1244,21164,650544,38660,16681,653385,230865,164207,44387,39169,4175,37416,34498,16591,12416,163176,1984
32,"Floyd, VA",39460,2059,2958,3202,75939,3238,2393,3660,115492,9327,10144,118730,40139,23900,18891,11704,1833,11720,4559,4004,2171,23181,1984
33,"Fluvanna, VA",35638,1982,3275,3334,69175,-258,-713,3649,114127,6944,10815,113869,37186,28055,16639,10529,938,6231,4942,2895,1957,24465,1984
34,"Franklin, VA",170440,8856,14769,16614,266366,4121,1026,17163,387710,24512,10685,391831,113089,75085,50380,36672,3456,25538,23076,13694,10238,121826,1984
35,"Frederick + Winchester, VA*",561565,28219,49339,56818,454038,6017,2237,56628,656594,58092,11711,662611,-50899,135213,73360,56579,4512,60329,77748,32022,27510,423488,1984
36,"Giles, VA",123690,6469,13713,13174,115424,322,55,13056,181233,8674,10448,181555,4790,33208,32923,17377,1378,8729,20300,7159,5781,94661,1984
37,"Gloucester, VA",91790,4922,8211,8318,210824,1182,732,9081,311690,15428,13002,312872,128115,70870,31178,24064,1952,16160,12370,7178,5226,63260,1984
38,"Goochland, VA",54150,2833,4085,4484,128060,592,88,5075,187096,13413,15079,187688,78985,42514,17114,12447,1146,13501,6327,3662,2516,34322,1984
39,"Grayson, VA",66010,3504,5455,6640,95632,3828,3031,6824,147026,7949,9051,150854,36446,27756,27466,16668,1817,10980,8775,5993,4176,46255,1984
40,"Greene, VA",19228,1034,1508,1346,61386,840,647,1707,88628,5773,10484,89468,43865,17439,10643,8534,738,6420,2181,1704,966,10627,1984
41,"Greensville + Emporia, VA*",107799,5544,9947,11076,88754,3338,2504,11082,142371,7086,9587,145709,-7963,27410,29545,15199,895,9590,15485,7421,6526,82724,1984
42,"Halifax, VA",217729,11087,18566,22018,225653,12915,10172,22096,342837,19441,9704,355752,30020,68122,61977,36662,4194,29613,29575,16541,12347,158541,1984
43,"Hampton (Independent City), VA",1380646,54006,221571,130314,1129359,0,0,119163,1645480,41293,12962,1645480,-132124,366324,149797,126944,4256,41293,286728,67483,63227,1052625,1984
44,"Hanover, VA",443398,22827,33321,45342,579917,5134,3309,45498,793041,47950,15264,798175,182017,153761,64497,52291,4582,51259,55992,25707,21125,336147,1984
45,"Henrico, VA",1870892,95055,157021,198390,2219976,1259,694,194250,3112985,116541,16034,3114244,543334,659137,235131,194225,5891,117235,256216,93176,87285,1497441,1984
46,"Henry + Martinsville, VA*",776144,39807,72529,87672,584649,521,199,83643,869827,43171,11655,870348,-107852,179101,106598,74675,4263,43370,116365,46358,42095,616409,1984
47,"Highland, VA",9840,501,755,682,17602,1286,1007,842,27653,2431,9890,28939,8604,6628,4709,2926,609,3438,1096,1214,605,5306,1984
48,"Isle of Wight, VA",226401,11373,21442,24268,220258,3527,1866,23507,302200,11104,13472,305727,17364,53744,31725,22693,1486,12970,33576,11527,10041,179855,1984
49,"James City + Williamsburg, VA*",459301,23120,43113,48050,357486,1295,866,47145,526783,24239,14276,528078,-54670,122654,47938,36991,2745,25105,67138,28081,25336,367058,1984
50,"King George, VA",188996,4587,34475,12280,112958,1292,992,10727,164182,6770,15131,165474,-65311,41584,10932,10936,1564,7762,40615,7328,5764,140619,1984
51,"King William, VA",79794,3998,6629,7878,89068,3393,2687,7937,125975,6637,13396,129368,17211,25721,14579,9657,676,9324,10568,3978,3302,59902,1984
52,"King and Queen, VA",18067,862,1559,1190,40540,2981,2551,1457,61701,3670,10759,64682,23930,13495,10647,6012,470,6221,2154,1429,959,9692,1984
53,"Lancaster, VA",66411,3644,5476,6090,57768,1144,942,6689,134190,10401,13072,135334,-1954,53175,24391,10353,1248,11343,8521,5003,3755,46547,1984
54,"Lee, VA",80905,4524,8412,7446,120798,3230,2435,8247,212812,11727,8282,216042,48140,36723,58521,26085,2899,14162,12135,7480,4581,54608,1984
55,"Loudoun, VA",506665,22915,50555,45688,879557,2526,-826,45759,1196029,55029,18680,1198555,418651,262155,56843,64163,6436,54203,73399,29186,22750,379063,1984
56,"Louisa, VA",122016,6320,10971,12196,132700,1926,1299,12418,200197,13816,10888,202123,23102,38207,31216,18563,1483,15115,17069,6588,5105,89832,1984
57,"Lunenburg, VA",57293,2840,5489,5462,66740,4616,3349,5571,104627,6430,9188,109243,15018,23246,19257,11890,1196,9779,8220,5001,3805,39294,1984
58,"Madison, VA",33879,1601,2432,2256,59247,4928,3591,2729,97958,9164,9501,102886,28097,26911,16728,10829,1321,12755,3560,3302,1981,17564,1984
59,"Mathews, VA",22638,1347,1728,1536,59876,851,524,2115,109732,7453,13411,110583,39353,32277,18430,8246,911,7977,2496,2207,1296,12165,1984
60,"Mecklenburg, VA",197523,10088,17774,20560,177321,8108,5047,20368,286232,17244,9926,294340,166,67293,49726,29652,2521,22291,28054,15243,12722,147178,1984
61,"Middlesex, VA",38555,2092,3601,3416,54410,1465,461,3800,100025,7698,12611,101490,19655,29309,17771,8048,949,8159,5309,3515,2566,25087,1984
62,"Montgomery + Radford, VA*",682734,34423,77626,71936,554575,1584,338,70391,804949,31943,9980,806533,-57768,161131,90827,80811,4312,32281,113594,40362,36050,536859,1984
63,"Nelson, VA",46431,2603,3885,4154,86371,1159,-47,4680,133164,9517,10745,134323,44620,26327,21625,12501,1196,9470,5962,4133,2937,30999,1984
64,"New Kent, VA",27563,1517,2343,2464,90118,339,185,2749,124919,5812,13733,125258,65304,23611,11529,9121,804,5997,3575,2282,1478,17991,1984
65,"Newport News (Independent City), VA",2078087,95614,272542,208888,1480909,0,0,200058,2063304,67878,13368,2063304,-397120,392924,189471,154351,5866,67878,376986,93316,87450,1633223,1984
66,"Norfolk (Independent City), VA",5143519,211170,820343,516494,2290892,0,0,469417,3623204,115312,13092,3623204,-2383210,941449,390863,276757,10723,115312,1078590,236945,226222,3949617,1984
67,"Northampton, VA",79126,4023,7690,7430,67215,5550,3399,7738,125948,9277,9499,131498,-4173,35514,28769,13844,1119,12676,11405,6371,5252,55045,1984
68,"Northumberland, VA",40493,2251,3668,3446,52630,1144,786,3974,117505,8206,11927,118649,16111,43053,22966,9948,1058,8992,5391,3336,2278,26110,1984
69,"Nottoway, VA",107668,5177,12415,13102,94395,4733,3568,11728,157072,7316,11158,161805,-1545,36054,31356,14501,1172,10884,18966,7005,5833,77818,1984
70,"Orange, VA",107818,5786,9689,10818,131196,691,-1196,11195,217111,16053,11591,217802,34573,55192,31414,18791,1916,14857,15098,8295,6379,77863,1984
71,"Page, VA",96999,4966,8329,9594,131082,5583,4389,9763,203600,13091,10503,209183,43846,42594,35507,19917,1742,17480,13126,7363,5621,66393,1984
72,"Patrick, VA",74126,3947,6389,7326,124667,2818,1872,7610,178247,10475,10322,181065,58151,28705,27693,17541,2190,12347,10052,6756,4566,51727,1984
73,"Pittsylvania + Danville, VA*",812432,42074,69966,87804,800523,19112,14693,85976,1180715,62180,10901,1199827,74067,218446,180858,110065,7586,76873,113868,51216,43630,621691,1984
74,"Portsmouth (Independent City), VA",1238975,41720,208451,101742,854195,0,0,92591,1316840,34214,12324,1316840,-292189,296110,166535,106852,4190,34214,259322,55317,51127,945439,1984
75,"Powhatan, VA",52826,2688,5596,4754,110732,1655,259,5065,150385,8448,11412,152040,62971,28247,13061,13323,867,8707,7973,3633,2766,36146,1984
76,"Prince Edward, VA",108002,5620,10604,10802,81196,1968,814,11021,141237,9666,8601,143205,-15785,34321,27688,16650,1329,10480,16005,8677,7348,81517,1984
77,"Prince George + Hopewell, VA*",630685,22353,108562,55530,384285,2026,1528,50118,570618,17638,11523,572644,-196282,131555,56804,49695,1732,19166,136327,25485,23753,475192,1984
78,"Prince William, Manassas + Manassas Park, VA*",1285359,60652,134940,126600,2470679,396,-528,123952,3123192,108996,16303,3123588,1309272,542251,110658,191597,9538,108468,198240,65166,55628,978651,1984
79,"Pulaski, VA",272695,14003,29151,29614,245077,1306,-149,28810,365296,15918,10387,366602,1192,59704,61821,35295,1920,15769,43958,16655,14735,212968,1984
80,"Rappahannock, VA",21500,1126,1479,1588,38774,896,-187,1920,68998,7041,11284,69894,19194,21687,9433,6194,892,6854,2273,2352,1460,12373,1984
81,"Richmond (Independent City), VA",4626545,229906,480555,484896,2060477,0,0,472354,3311004,225170,15404,3311004,-2093714,771458,479069,214947,23434,225170,723003,223816,200382,3678372,1984
82,"Richmond, VA",45543,2368,4466,4308,42561,1308,948,4522,75058,5089,11227,76366,1540,20651,13154,6802,771,6037,6620,3459,2688,32886,1984
83,"Roanoke (Independent City), VA",1416178,73474,131682,171192,779647,0,0,159070,1273614,76973,12745,1273614,-477461,272034,221933,99934,9456,76973,217278,77428,67972,1121927,1984
84,"Roanoke + Salem, VA*",939380,46317,87030,102784,995987,2019,1236,97709,1394424,73380,14164,1396443,154316,278401,122055,98594,5307,74616,138422,47750,42443,726342,1984
85,"Rockbridge, Buena Vista + Lexington, VA*",194154,10261,18799,20708,188119,538,-623,20615,305625,16340,9766,306163,14580,72645,45399,31349,2608,15717,29153,13592,10984,149284,1984
86,"Rockingham + Harrisonburg, VA*",683908,32825,62797,65608,599456,38857,28027,65629,839999,68047,11024,878856,-18823,182142,97258,79725,8562,96074,95601,44841,36279,492233,1984
87,"Russell, VA",147512,7761,16441,16692,184113,1295,-41,16107,286584,15357,9129,287879,52708,45374,58392,31536,2819,15316,24787,9727,6908,107409,1984
88,"Scott, VA",70491,3960,6966,6438,127803,3086,2502,7179,208353,10486,8593,211439,64491,38043,45593,24607,3297,12988,10185,7183,3886,47318,1984
89,"Shenandoah, VA",189326,9627,17315,18500,213524,7032,4080,18877,328268,22881,11661,335300,43075,75419,46357,28755,3081,26961,26565,14162,11081,135800,1984
90,"Smyth, VA",211092,10933,21171,21008,197318,3993,2634,21437,309015,21891,9493,313008,7663,57094,58596,32974,2942,24525,31675,14996,12054,154892,1984
91,"Southampton + Franklin, VA*",133444,6721,12620,12700,156621,10447,8030,13071,248142,10930,10172,258589,36248,58579,43389,25422,1757,18960,18970,9803,8046,95514,1984
92,"Spotsylvania + Fredericksburg, VA*",413450,21381,35721,40956,556045,524,-303,41859,766721,50874,14077,767245,184454,144419,66781,54503,4574,50571,56199,27068,22494,306680,1984
93,"Stafford, VA",227054,10538,29209,21700,537640,-555,-875,21388,729119,28852,15695,728564,331974,150432,40492,46420,2372,27977,40059,12121,9749,159018,1984
94,"Suffolk (Independent City), VA",322229,16648,29461,33376,446705,7604,4872,33336,645903,21576,13608,653507,157812,116780,90022,48025,2426,26448,46149,18992,16566,249632,1984
95,"Surry, VA",69256,3448,6385,7176,37828,2423,1878,7036,59992,2496,10214,62415,-24392,14905,9682,6111,550,4374,9973,2778,2228,54909,1984
96,"Sussex, VA",47499,2410,4125,4202,68307,4172,3209,4511,108423,6025,10811,112595,25319,26331,17957,10415,746,9234,6226,3390,2644,32039,1984
97,"Tazewell, VA",269321,14275,26132,26808,308629,1493,661,27679,502281,33702,10089,503774,66987,92278,102867,49933,3485,34363,39536,17132,13647,195422,1984
98,Virginia,59515460,2749775,6765372,5904886,57388025,321131,187120,5702218,82317103,3968624,14642,82638234,3574783,17718899,7531310,5643868,406722,4155744,9717815,3041492,2634770,45641901,1984
99,"Virginia Beach (Independent City), VA",2340708,106730,302162,234966,3763507,2354,1067,224213,5157758,172934,16647,5160112,1647012,1152004,244601,309977,19766,174001,419645,141034,121268,1747062,1984
100,"Warren, VA",143193,7391,14706,13974,183467,306,-124,14378,273788,16087,12308,274094,54652,54042,36585,22269,1537,15963,21693,9132,7595,105537,1984
101,"Washington + Bristol, VA*",484885,24672,48211,49446,427743,4907,1490,49395,661583,39569,10252,666490,-7747,131262,107485,65013,6580,41059,72934,33124,26544,370892,1984
102,"Westmoreland, VA",46375,2546,4551,3886,85837,2590,706,4489,154658,8013,10915,157248,43951,42202,29209,14406,1267,8719,6494,4730,3463,31162,1984
103,"Wise + Norton, VA*",493755,24558,52741,50072,374286,178,96,49594,560313,77700,11690,560491,-69875,80256,105949,47946,2865,77796,77777,20542,17677,338182,1984
104,"Wythe, VA",149272,7737,14349,14742,165873,4315,2481,15108,258418,14483,10352,262733,31709,50390,46470,25380,2457,16964,21720,11323,8866,110588,1984
105,"York + Poquoson, VA*",290239,11440,44031,24942,538266,833,57,23911,760192,21763,16108,761025,271938,176081,46678,47245,2531,21820,56502,15182,12651,211917,1984
0,"Accomack, VA",229927,11525,25149,19364,195538,8770,3383,21207,333471,36509,11013,342241,-13182,87447,59256,31075,2536,39892,34831,15356,12820,155204,1985
1,"Albemarle + Charlottesville, VA*",1273734,66899,132446,127724,955949,2336,-996,130761,1495127,94334,14754,1497463,-187024,404185,137329,101492,8800,93338,196308,69554,60754,984088,1985
2,"Alexandria (Independent City), VA",2245208,104977,255623,216298,1898024,0,0,213126,2762958,112858,24819,2762958,-134058,699167,165767,111324,12831,112858,363772,96116,83285,1768578,1985
3,"Alleghany + Covington, VA*",239304,13598,23634,30378,185006,-76,-159,28787,297105,13716,11242,297029,-25511,54192,57831,26422,1547,13557,38823,11962,10415,186924,1985
4,"Amelia, VA",39168,1864,3048,2812,67254,6955,5494,3270,91511,7278,11898,98466,31356,18332,12880,8276,936,12772,4454,3019,2083,21942,1985
5,"Amherst, VA",175973,9910,18986,18038,192816,-582,-962,18929,295153,16328,10258,294571,35772,59637,42118,28715,1809,15366,28005,10869,9060,132602,1985
6,"Appomattox, VA",67615,3794,6759,6744,86347,-150,-567,7166,131616,9685,10843,131466,25898,24974,20145,12124,1079,9118,10131,5076,3997,48366,1985
7,"Arlington, VA",6162951,250899,871949,569584,2771586,0,0,535691,4160193,215361,25159,4160193,-2855674,1178956,209651,165356,15685,215361,1156741,188874,173189,4790849,1985
8,"Augusta, Staunton + Waynesboro, VA*",856582,45704,85584,85866,762724,14271,9129,88637,1155568,70674,12737,1169839,-5221,250295,156820,91846,8077,79803,128517,47500,39423,648262,1985
9,"Bath, VA",85032,4608,7329,9134,46384,-377,-639,9175,72507,2749,13533,72130,-29473,15052,10694,5330,480,2110,11896,3686,3206,71026,1985
10,"Bedford, VA*",195233,11277,18939,19326,398163,-1099,-2727,20940,587134,26594,12948,586035,223870,119250,68622,45261,4246,23867,28602,14883,10637,142764,1985
11,"Bland, VA",30175,1682,3238,2878,40548,1095,719,3121,59788,3831,9457,60883,13494,10170,10165,6438,771,4550,4677,2296,1525,20948,1985
12,"Botetourt, VA",103294,6030,9744,12584,217850,532,-727,12322,306686,17106,12898,307218,126878,56201,33167,23819,2146,16379,16036,6919,4773,70879,1985
13,"Brunswick, VA",82864,4488,8337,7880,91722,4347,2613,8428,144442,9094,9362,148789,17286,29082,27985,15893,1201,11707,12277,6320,5119,58880,1985
14,"Buchanan, VA",389393,20261,40263,37940,265035,173,149,39231,389899,70223,10962,390072,-85127,54467,70570,35585,1912,70372,59233,14172,12260,259788,1985
15,"Buckingham, VA",50062,2836,5050,4366,74230,1502,1012,5019,118564,8180,9615,120066,29187,24093,21743,12488,1157,9192,7233,3786,2629,33637,1985
16,"Campbell + Lynchburg, VA*",1378916,73790,131756,147228,923843,2443,1241,147404,1441055,75810,12777,1443498,-307669,288977,230678,112974,7160,77051,205370,71474,64314,1096495,1985
17,"Caroline, VA",83006,4233,9629,7178,151936,2672,2159,7822,218881,11860,12158,221553,76752,41587,28030,18223,1142,14019,13218,5163,4021,55769,1985
18,"Carroll + Galax, VA*",207147,11613,21336,21194,192598,1357,152,22210,326213,22163,9685,327570,7661,61237,73735,33824,3422,22315,31933,16516,13094,152899,1985
19,"Charles City, VA",12363,730,1352,1078,53712,137,-200,1269,74010,2777,11355,74147,42618,12647,7788,6530,251,2577,1891,986,735,7895,1985
