,GeoName,Earnings by place of work,Employee and self-employed contributions for government social insurance,Employer contributions for employee pension and insurance funds 8,Employer contributions for government social insurance,Equals: Net earnings by place of residence,Farm income 2,Farm proprietors' income,Less: Contributions for government social insurance 5,Nonfarm personal income 1,Nonfarm proprietors' income,Per capita personal income (dollars) 4,Personal income (thousands of dollars),Plus: Adjustment for residence 6,"Plus: Dividends, interest, and rent 7",Plus: Personal current transfer receipts,Population (persons) 3,Proprietors employment,Proprietors' income 9,Supplements to wages and salaries,Total employment,Wage and salary employment,Wages and salaries,year
36,"Giles, VA",41561,1445,2761,2598,38623,317,164,2744,47460,3847,2826,47777,-194,4391,4763,16905,846,4011,4060,6830,5984,33490,1969
37,"Gloucester, VA",16132,575,767,702,38603,140,-8,926,51614,5137,3696,51754,23397,9688,3463,14004,1002,5129,1118,3487,2485,9885,1969
38,"Goochland, VA",12128,398,494,518,23131,742,378,657,28547,3544,2899,29289,11660,4164,1994,10103,666,3922,753,2511,1845,7453,1969
39,"Grayson, VA",18876,658,837,1160,24701,1509,1070,1238,30257,2587,2036,31766,7063,2960,4105,15604,1451,3657,1417,5105,3654,13802,1969
40,"Greene, VA",4521,155,171,148,9479,211,123,229,11986,1836,2345,12197,5187,1571,1147,5201,335,1959,245,918,583,2317,1969
41,"Greensville + Emporia, VA*",31540,1056,1563,1976,28463,972,545,2044,35813,3828,2452,36785,-1033,4206,4116,15004,1330,4373,2551,6963,5633,24616,1969
42,"Halifax, VA",74823,2243,3032,4158,78798,11472,9875,4322,86485,8472,2625,97957,8297,10632,8527,37311,5636,18347,5111,16820,11184,51365,1969
43,"Hampton (Independent City), VA",396018,8303,55383,19506,370196,0,0,18056,461047,13653,3878,461047,-7766,69898,20953,118900,2919,13653,65136,51479,48560,317229,1969
44,"Hanover, VA",51741,1769,2078,2644,116264,2563,1793,3091,137763,12125,3812,140326,67614,17190,6872,36810,2288,13918,3400,9920,7632,34423,1969
45,"Henrico, VA",300366,10577,15358,18916,569378,1211,421,20035,647054,34633,4253,648265,289047,56062,22825,152415,1473,35054,24816,42184,40711,240496,1969
46,"Henry + Martinsville, VA*",233828,7986,12136,15762,186976,981,692,15867,226266,15399,3245,227247,-30985,27224,13047,70020,3043,16091,20017,39306,36263,197720,1969
47,"Highland, VA",3901,115,142,160,4046,911,802,195,4898,793,2233,5809,340,951,812,2601,674,1595,222,1215,541,2084,1969
48,"Isle of Wight, VA",53230,1727,3012,3386,47466,2791,2117,3420,56074,3577,3216,58865,-2344,7722,3677,18305,1546,5694,4705,9132,7586,42831,1969
49,"James City + Williamsburg, VA*",69710,2297,3798,4066,73640,-35,-174,4330,92745,6064,3511,92710,8260,15304,3766,26407,1023,5890,5831,13111,12088,57989,1969
50,"King George, VA",47035,377,7027,1018,27274,17,-82,886,36006,1652,4502,36023,-18875,7426,1323,8002,404,1570,7536,4672,4268,37929,1969
51,"King William, VA",18717,640,965,1160,18273,344,-132,1220,23546,2150,3184,23890,776,3932,1685,7502,602,2018,1545,3274,2672,15154,1969
52,"King and Queen, VA",5995,200,244,260,11124,447,240,330,13697,1558,2525,14144,5459,1685,1335,5602,534,1798,374,1742,1208,3823,1969
53,"Lancaster, VA",17008,610,815,910,15757,66,-103,1065,25392,3736,2766,25458,-186,6539,3162,9203,756,3633,1270,3923,3167,12105,1969
54,"Lee, VA",20266,675,1034,884,22996,3275,2781,1117,31370,3532,1665,34645,3847,3713,7936,20806,2328,6313,1476,5626,3298,12477,1969
55,"Loudoun, VA",91666,2345,5932,3924,123293,5132,3074,4307,169000,11898,4809,174132,35934,44232,6607,36210,3064,14972,7894,15344,12280,68800,1969
56,"Louisa, VA",17941,617,771,970,27166,845,485,1102,34425,4045,2519,35270,10327,4496,3608,14004,1234,4530,1256,4223,2989,12155,1969
57,"Lunenburg, VA",20831,613,895,1048,22626,3933,3410,1137,24779,2915,2433,28712,2932,3136,2950,11803,1608,6325,1419,4963,3355,13087,1969
58,"Madison, VA",11991,381,427,468,17778,1034,336,615,22118,4521,2661,23152,6402,3181,2193,8702,1037,4857,661,2980,1943,6473,1969
59,"Mathews, VA",8113,315,307,314,14349,280,94,472,21215,3319,2985,21495,6708,4328,2818,7202,619,3413,464,2001,1382,4236,1969
60,"Mecklenburg, VA",68325,2062,3097,3988,59431,8603,7278,4056,66373,6633,2524,74976,-4838,9165,6380,29708,4103,13911,5091,15682,11579,49323,1969
