,FIPS_County,Number_in_Poverty,Percent_in_Poverty,Median_Income,County_Name,population,year,Firms,Establishments,Employment,Payroll_$1000,Earnings by place of work,Employee and self-employed contributions for government social insurance,Employer contributions for employee pension and insurance funds 8,Employer contributions for government social insurance,Equals: Net earnings by place of residence,Farm income 2,Farm proprietors' income,Less: Contributions for government social insurance 5,Nonfarm personal income 1,Nonfarm proprietors' income,Per capita personal income (dollars) 4,Personal income (thousands of dollars),Plus: Adjustment for residence 6,"Plus: Dividends, interest, and rent 7",Plus: Personal current transfer receipts,Population (persons) 3,Proprietors employment,Proprietors' income 9,Supplements to wages and salaries,Total employment,Wage and salary employment,Wages and salaries
882,87,29502,9.0,68581,henrico county,327800,2018,7610,9406,183138,9926921,18049377,1077843,1560747,1645088,15097194,1421,111,1900387,21579359,3869615,65413,21580780,-1051796,3952044,2531542,329917,47378,3869726,2383291,254114,206736,11796360
883,89,10068,20.0,36471,henry county,50340,2018,681,781,10491,357730,1299290,101086,175693,137290,1189564,8697,7809,169731,2406148,99607,37923,2414845,60005,387675,837606,63677,5039,107416,244338,31682,26643,947536
884,91,280,12.7,45089,highland county,2205,2018,82,84,347,9776,30341,2662,4489,2502,31285,4032,3252,3913,88698,3258,42035,92730,4857,34797,26648,2206,674,6510,5740,1245,571,18091
885,93,3368,9.2,72993,isle of wight county,36609,2018,637,676,9672,471840,735669,53599,83203,74224,1322310,2541,563,90711,2006864,50849,54012,2009405,677352,330658,356437,37203,4339,51412,120315,15767,11428,563942
886,95,5288,7.0,86541,james city county,75543,2018,1563,1717,28496,1079677,2653497,180154,332430,282294,3105075,-4625,-5354,321301,5768384,217750,63189,5763759,772879,1738329,920355,91215,12221,212396,473577,58991,46770,1967524
887,97,858,12.2,51124,king and queen county,7033,2018,115,119,633,25019,1406733,77594,255358,162068,953906,-495,-1026,158628,1410396,62867,52859,1409901,-294199,278382,177613,26673,2577,61841,336392,15608,13031,1008500
888,99,1786,6.8,86619,king george county,26265,2018,408,481,5405,288274,269769,20255,31862,28058,518941,-1840,-2571,34284,788060,27354,46352,786220,283456,126188,141091,16962,1934,24783,45891,6291,4357,199095
889,101,1223,7.3,68724,king william county,16753,2018,335,349,3536,167854,74476,6873,9567,7082,180220,155,-1022,10414,300189,13334,42705,300344,116158,47962,72162,7033,760,12312,13108,1968,1208,49056
890,103,1306,12.3,52814,lancaster county,10618,2018,434,455,4033,150858,269146,21872,30624,26502,224390,-568,-1028,35123,620735,37380,58003,620167,-9633,240490,155287,10692,1978,36352,43875,6906,4928,188919
891,105,5461,24.8,34796,lee county,22020,2018,224,253,2451,69449,239440,23634,43325,24490,304944,-6014,-7060,35879,692320,27504,28954,686306,101383,89232,292130,23703,2326,20444,55570,7002,4676,163426
892,107,14700,3.6,140382,loudoun county,408333,2018,9603,10847,165167,10056288,16377021,961559,1598666,1638896,25580339,5569,-8680,1781007,32179387,1563510,79280,32184956,10984325,4936767,1667850,405964,63490,1554830,2418114,246582,183092,12404077
893,109,4140,11.3,63714,louisa county,36637,2018,553,586,7317,353326,766841,53885,99109,77866,960119,-684,-2376,92818,1593208,81447,43445,1592524,286096,298802,333603,36656,4611,79071,138042,15034,10423,549728
894,111,2008,18.2,41421,lunenburg county,11033,2018,166,174,1698,58066,140434,12462,22353,14474,188799,-1458,-3778,19699,391809,11215,31847,390351,68064,74164,127388,12257,1229,7437,29590,4102,2873,103407
895,113,1330,10.1,60450,madison county,13168,2018,266,269,2372,80665,187351,15249,22345,18152,356674,-4205,-7516,24325,621143,39681,46745,616938,193648,143641,116623,13198,2536,32165,31421,5871,3335,123765
896,115,812,9.3,61764,mathews county,8731,2018,183,193,1053,26621,99284,10010,11126,7962,235392,807,750,13991,479325,28783,54772,480132,150099,135924,108816,8766,1377,29533,15107,3087,1710,54644
897,117,5565,18.7,44832,mecklenburg county,29759,2018,712,800,9075,298434,598944,47543,81250,64666,527598,-3443,-9315,79876,1114277,43580,36175,1110834,8530,210363,372873,30707,3072,34265,113583,15494,12422,451096
898,119,1317,12.7,54871,middlesex county,10370,2018,298,310,2249,67589,207974,16994,28310,19164,239284,771,-543,26576,538989,32024,50365,539760,57886,163042,137434,10717,1734,31481,37892,5365,3631,138601
899,121,21444,24.1,52538,montgomery county,88979,2018,1756,1977,31373,1249236,3382697,201633,547106,347206,2608027,2335,-1195,375236,4304427,223184,36906,4306762,-399434,976615,722120,116694,11188,221989,720709,64692,53504,2439999
900,125,1814,12.3,56690,nelson county,14748,2018,353,367,3326,101206,245703,20742,30787,22500,357896,1875,-1405,31992,744178,46068,50287,746053,144185,211697,176460,14836,2600,44663,42037,6841,4241,159003
901,127,1132,5.2,90858,new kent county,21769,2018,381,396,3397,122470,294411,23089,34577,27232,1217752,-2700,-2947,36705,1644699,60753,73715,1641999,960046,234261,189986,22275,3393,57806,48193,8138,4745,188412
902,131,2167,18.8,43157,northampton county,11527,2018,286,307,2909,104528,246636,16625,28748,21988,333552,46047,32458,27619,577825,26700,52920,623872,114535,129319,161001,11789,1927,59158,39742,6437,4510,147736
903,133,1790,14.8,55418,northumberland county,12095,2018,289,298,1600,59184,182378,17404,22628,18110,246515,635,-362,26459,617910,27719,50817,618545,90596,203769,168261,12172,1780,27357,31683,4530,2750,123338
904,135,2952,22.4,46368,nottoway county,13179,2018,299,320,3407,112586,326672,22739,62356,37176,236513,9006,6551,41327,509682,5396,33723,518688,-48832,96589,185586,15381,1433,11947,80944,7626,6193,233781
905,137,3387,9.4,63681,orange county,36032,2018,599,635,6810,255896,611890,45483,76152,57744,1069756,24178,12431,74355,1774206,85430,49109,1798384,532221,377624,351004,36620,4513,97861,105024,15050,10537,409005
906,139,3293,13.9,49073,page county,23691,2018,397,424,4255,142364,338731,27193,43659,34830,502970,24271,21130,44608,881014,38372,37712,905285,208847,158319,243996,24005,2718,59502,61074,8932,6214,218155
907,141,2683,15.5,42862,patrick county,17310,2018,279,292,3463,103289,235055,20960,33709,23850,282021,1981,-38,32885,579746,26770,32942,581727,79851,94061,205645,17659,2129,26732,45634,7219,5090,162689
