,FIPS_County,Number_in_Poverty,Percent_in_Poverty,Median_Income,County_Name,population,year,Firms,Establishments,Employment,Payroll_$1000,Earnings by place of work,Employee and self-employed contributions for government social insurance,Employer contributions for employee pension and insurance funds 8,Employer contributions for government social insurance,Equals: Net earnings by place of residence,Farm income 2,Farm proprietors' income,Less: Contributions for government social insurance 5,Nonfarm personal income 1,Nonfarm proprietors' income,Per capita personal income (dollars) 4,Personal income (thousands of dollars),Plus: Adjustment for residence 6,"Plus: Dividends, interest, and rent 7",Plus: Personal current transfer receipts,Population (persons) 3,Proprietors employment,Proprietors' income 9,Supplements to wages and salaries,Total employment,Wage and salary employment,Wages and salaries
0,1,6722,20.5,37312,accomack county,32790,2010,734,826,9443,256121,669368,42187,95329,69258,603275,30526,23563,76816,1092202,51167,33868,1122728,10723,222749,296704,33150,3731,74730,129958,18051,14320,464680
1,3,8419,9.1,61845,albemarle county,92516,2010,2297,2514,36318,1611944,5972951,341821,735779,581248,4301638,-1140,-10408,632445,7269881,854558,50950,7268741,-1038868,2180543,786560,142663,22196,844150,1026403,112944,90748,4102398
2,5,2096,13.1,43110,alleghany county,16000,2010,238,253,2365,64972,451606,31611,57444,51702,381859,-2042,-2322,57462,705647,19217,31774,703605,-12285,102743,219003,22144,1352,16895,83295,9903,8551,351416
3,7,1432,11.4,49057,amelia county,12561,2010,280,286,1866,52307,143066,9696,15259,13136,267116,16485,12806,16264,409097,21461,33403,425582,140314,59809,98657,12741,1662,34267,21827,4364,2702,86972
4,9,4221,13.6,42063,amherst county,31037,2010,567,601,6697,193779,456055,32277,64045,48316,576212,-2933,-3697,56435,972617,41939,29939,969684,176592,140661,252811,32389,2921,38242,88203,12472,9551,329610
5,11,2099,14.1,44479,appomattox county,14887,2010,292,297,2408,58396,152044,12286,21081,15618,269588,-3758,-4446,20095,465821,22286,30618,462063,137639,61801,130674,15091,1570,17840,28890,5112,3542,105314
6,13,14903,7.2,93231,arlington county,206986,2010,4654,6019,126195,8897590,20274242,1078354,2394589,2190244,12735445,0,0,2173476,16591315,1642270,79263,16591315,-5365321,2976104,879766,209319,27711,1642270,3489711,210386,182675,15142261
7,15,6734,9.5,50534,augusta county,70884,2010,1308,1390,18533,685653,2645300,168149,311520,249184,2661947,25922,17366,292741,4214321,491765,35837,4240243,309388,687639,890657,118320,12993,509131,436112,61243,48250,1700057
8,17,520,11.2,41266,bath county,4643,2010,136,140,1698,54614,109581,7373,12767,11646,90080,-1125,-1660,13196,183263,18057,38580,182138,-6305,51023,41035,4721,637,16397,18590,2883,2246,74594
9,19,6667,9.8,51656,bedford county,68031,2010,1390,1436,12682,387881,979217,71420,114659,102578,1714860,-4939,-6935,122709,2728569,140463,36300,2723630,858352,460526,548244,75032,9069,133528,165948,29699,20630,679741
10,21,917,15.0,39975,bland county,6113,2010,72,78,1233,48144,113139,7761,19769,11748,106383,-1261,-1769,13635,189440,8778,27669,188179,6879,26657,55139,6801,774,7009,25643,2878,2104,80487
11,23,2131,6.5,63528,botetourt county,32785,2010,690,743,8763,318971,489107,34288,58027,51030,871217,-2247,-3636,59803,1314278,66325,39525,1312031,441913,208735,232079,33195,3979,62689,83542,13228,9249,342876
12,25,3120,20.5,36806,brunswick county,15220,2010,269,277,2827,72852,192092,14004,27653,20708,235187,6458,4678,24358,454326,10148,26492,460784,67453,63879,161718,17393,1222,14826,38007,5891,4669,139259
13,27,5676,24.8,29712,buchanan county,22887,2010,421,455,6315,281976,497943,35741,62248,54468,365755,-505,-552,62975,722400,29568,29965,721895,-69213,88941,267199,24091,1217,29016,89482,9762,8545,379445
14,29,3042,20.5,37568,buckingham county,14839,2010,240,253,1797,56809,177577,12514,24752,16886,232741,6358,5241,20957,401999,23278,23892,408357,76121,59210,116406,17092,1403,28519,33195,4846,3443,115863
15,31,7770,14.3,42158,campbell county,54336,2010,1070,1148,13531,521845,3741501,231095,438196,418562,2352101,-1582,-3650,440376,4174623,216541,31986,4173041,-949024,661918,1159022,130463,12131,212891,647477,84221,72090,2881133
16,33,3150,11.2,52779,caroline county,28125,2010,361,384,3780,135496,291482,20393,43459,30528,637040,-1805,-3690,35657,969101,32185,33785,967296,381215,138509,191747,28631,2536,28495,58723,8221,5685,204264
17,35,5248,17.6,34796,carroll county,29818,2010,402,420,4250,105827,542785,40044,72274,58726,528765,503,-1473,69407,1045447,59019,28223,1045950,55387,141879,375306,37060,3324,57546,101637,16507,13183,383602
18,36,864,11.9,45916,charles city county,7261,2010,139,139,1184,40759,89416,6472,10471,9304,144874,553,-608,11124,239920,12417,33146,240473,66582,39923,55676,7255,530,11809,15123,2152,1622,62484
19,37,2309,18.6,33899,charlotte county,12414,2010,215,227,1695,41495,130733,10525,19181,12674,169873,3059,1415,16862,336843,19148,27045,339902,56002,54986,115043,12568,1912,20563,25518,4869,2957,84652
20,41,21475,6.9,69190,chesterfield county,311232,2010,5872,6794,96097,3713245,7067502,426101,843021,766002,9624324,497,-270,809102,13506060,515820,42579,13506557,3365924,2149378,1732855,317210,35341,515550,1226022,156635,121294,5325930
21,43,1147,8.3,67962,clarke county,13819,2010,384,396,3237,116410,260226,16755,23949,23666,478626,3972,-188,28588,718498,65809,51539,722470,246988,158699,85145,14018,2847,65621,35782,7039,4192,158823
22,45,599,11.6,44882,craig county,5164,2010,58,59,387,9268,35510,3185,5077,3342,90303,-1042,-1492,4856,155136,7685,29645,154094,59649,25039,38752,5198,640,6193,6748,1386,746,22569
23,47,4720,10.5,56897,culpeper county,44952,2010,890,947,11223,436621,836656,52925,101184,86670,1161076,986,-4013,96260,1729264,113519,36944,1730250,420680,285876,283298,46834,6276,109506,144519,21797,15521,582631
24,49,1721,17.2,39394,cumberland county,10006,2010,143,147,844,23489,73748,5626,9175,6128,165565,9289,8237,8690,269297,12176,27781,278586,100507,38209,74812,10028,748,20413,12239,2194,1446,41096
25,51,3567,23.0,32955,dickenson county,15509,2010,219,238,2806,116876,218615,17512,29710,22610,219709,-1624,-1683,28817,454106,17111,28555,452482,29911,54678,178095,15846,858,15428,41015,5149,4291,162172
26,53,3249,11.9,50535,dinwiddie county,27303,2010,354,367,4123,156570,1536263,99757,214173,172952,1433823,-834,-2167,186233,2653132,71386,34047,2652298,83793,401571,816904,77902,7023,69219,300649,40567,33544,1166395
27,57,1553,14.1,43125,essex county,11014,2010,296,308,3419,93070,174973,12325,22329,18704,207135,-2521,-3336,21677,372772,19042,33221,370251,53839,68111,95005,11145,1300,15706,31681,5409,4109,127586
28,59,63915,5.9,102726,fairfax county,1083305,2010,23719,28782,558906,38299757,63086221,3615818,5624116,6630788,54739464,5080,3283,6931212,74393381,4272169,66356,74398461,-1415545,14981389,4677608,1121203,160270,4275452,8939510,825687,665417,49871259
29,61,4839,7.5,83176,fauquier county,64520,2010,1707,1785,16150,628173,1435352,88658,138412,134144,2496865,-9243,-21326,155730,3702190,317612,56439,3692947,1217243,853838,342244,65433,10154,296286,205484,32311,22157,933582
30,63,2066,13.6,44188,floyd county,15191,2010,299,306,1964,47985,142692,11336,17510,12858,268512,2242,-2252,17765,456768,35362,29870,459010,143585,72355,118143,15367,2432,33110,23939,5627,3195,85643
31,65,1784,7.3,63869,fluvanna county,24438,2010,396,400,2610,76092,245105,18287,32246,22576,566160,-303,-902,29575,899479,48000,34863,899176,350630,175970,157046,25792,2915,47098,43534,7423,4508,154473
32,67,7844,14.4,40931,franklin county,54472,2010,1066,1131,11088,311448,665529,49272,74596,65634,1021107,10615,5914,82089,1753262,124700,31400,1763877,437667,306564,436206,56174,6748,130614,107413,20746,13998,427502
33,69,5756,7.4,62173,frederick county,77784,2010,1305,1428,20447,739785,2835377,170188,337379,310148,2783215,-1373,-6090,325262,4066412,240798,38827,4065039,273100,664475,617349,104695,12328,234708,492453,63784,51456,2108216
34,71,2292,13.4,40773,giles county,17104,2010,278,305,3750,143503,272833,19527,39235,29142,308913,-1910,-2326,34098,546747,25303,31463,544837,70178,80489,155435,17317,1794,22977,53806,7011,5217,196050
35,73,3603,9.9,58893,gloucester county,36394,2010,835,895,7310,181094,449109,31355,57835,43972,968229,1753,1180,53341,1491468,64441,40421,1493221,572461,281918,243074,36942,3861,65621,79821,13841,9980,303667
36,75,1566,7.7,81938,goochland county,20338,2010,584,624,10999,772378,980626,58697,94807,98852,936372,-734,-2745,108123,1502531,60310,68556,1501797,63869,413316,152109,21906,3505,57565,144233,15371,11866,778828
37,77,2617,17.1,31930,grayson county,15304,2010,167,176,1495,42458,111572,10989,16137,11166,201605,316,-1450,16572,415746,20540,26843,416062,106605,63935,150522,15500,2029,19090,21720,4723,2694,70762
38,79,1774,9.7,57592,greene county,18289,2010,317,324,2181,70843,185731,13130,20473,17916,424976,1106,313,22088,631122,34254,34211,632228,261333,101928,105324,18480,1971,34567,29431,5620,3649,121733
39,81,2077,23.9,38702,greensville county,8690,2010,108,114,2459,76221,341882,21955,53412,39646,250481,-1081,-1963,41778,456491,6921,25087,455410,-49623,62060,142869,18153,1049,4958,73235,9700,8651,263689
40,83,6833,19.3,35879,halifax county,35404,2010,704,752,10151,301601,599085,41528,87843,64618,555753,7554,4090,73837,1041813,45615,28985,1049367,30505,160003,333611,36204,3231,49705,120152,16446,13215,429228
41,85,5218,5.3,72319,hanover county,98453,2010,2798,3014,39376,1359723,2465267,150901,270681,268864,3170288,4132,-2939,285333,4479851,227025,44891,4483983,990354,745175,568520,99886,12769,224086,405113,60644,47875,1836068
42,87,29987,9.8,59128,henrico county,305990,2010,7093,8700,155199,7493181,12031437,706796,1182721,1226192,10125463,1413,218,1319892,14378448,1515888,46809,14379861,-586082,2444048,1810350,307201,38127,1516106,1795817,218651,180524,8719514
43,89,9447,17.7,32669,henry county,53373,2010,818,891,12379,335069,1147695,82995,150434,130086,1021546,6895,6056,148038,2061005,94748,30460,2067900,21889,357100,689254,67888,5378,100804,215477,31700,26322,831414
44,91,330,14.4,35793,highland county,2292,2010,91,92,374,8242,26775,2083,3621,2240,30485,1717,1110,3203,72926,5314,32496,74643,6913,23501,20657,2297,702,6424,4741,1306,604,15610
45,93,3082,8.8,62224,isle of wight county,35023,2010,604,641,9716,289835,603309,39850,69350,59870,1114101,3254,1365,69785,1600461,59161,45407,1603715,580577,238669,250945,35319,3517,60526,99285,14202,10685,443498
46,95,5067,7.7,74241,james city county,65805,2010,1489,1638,22841,757548,2202378,137276,260639,224470,2570187,538,28,249511,4225552,314646,51926,4226090,617320,1052988,602915,81387,10585,314674,372874,54242,43657,1514830
47,97,888,12.8,44277,king and queen county,6938,2010,105,107,899,34935,1056447,56502,160870,119280,749698,-2252,-2703,116142,1075857,67715,45306,1073605,-190607,208756,115151,23697,2310,65012,220510,13347,11037,770925
48,99,1609,6.9,77200,king george county,23319,2010,412,466,5233,250126,201582,13842,23397,21064,398588,927,-474,24374,580994,22649,36372,581921,221380,82695,100638,15999,1626,22175,33929,5401,3775,145478
49,101,1230,7.7,64205,king william county,15974,2010,323,334,2853,109474,73620,5363,9662,7330,142796,80,-742,9028,233730,13716,33516,233810,78204,36384,54630,6976,703,12974,13327,1903,1200,47319
50,103,1557,13.9,44296,lancaster county,11201,2010,483,512,4220,126457,239059,17480,27686,23520,197257,-536,-873,29240,499160,37901,43885,498624,-12562,179535,121832,11362,2024,37028,39446,7121,5097,162585
51,105,6087,25.5,31116,lee county,23871,2010,264,289,3133,77253,265914,21006,42177,28078,336029,-3729,-4594,35045,668345,25891,25955,664616,105160,83624,244963,25606,2245,21297,56216,8075,5830,188401
52,107,11525,3.7,119075,loudoun county,311486,2010,7156,8072,117300,6393562,10841061,619613,1059225,1123376,16473525,-6534,-17729,1181301,20152009,1012297,63855,20145475,6813765,2735585,936365,315486,41295,994568,1620913,183855,142560,8225580
53,109,3259,9.9,50101,louisa county,32919,2010,528,550,6381,284793,587511,37823,81866,58736,757350,-2615,-3968,67191,1167918,62160,35132,1165303,237030,187573,220380,33169,3485,58192,111234,12229,8744,418085
54,111,2396,20.5,35260,lunenburg county,11688,2010,178,182,1585,48098,125844,9856,18147,13720,163101,-751,-2374,16716,331262,11816,25603,330511,53973,60887,106523,12909,964,9442,25007,3837,2873,91395
55,113,1544,11.7,49389,madison county,13197,2010,271,275,2586,72058,157724,11587,18092,15818,272699,-649,-3338,19496,450155,32156,33800,449506,134471,92189,84618,13299,2015,28818,26001,5292,3277,102905
56,115,903,10.2,53418,mathews county,8853,2010,178,179,971,20975,88513,7708,8804,6810,207544,200,-3,11113,403925,29780,45033,404125,130144,116639,79942,8974,1335,29777,12209,3004,1669,46527
57,117,6241,20.2,35196,mecklenburg county,30896,2010,746,817,9414,251590,543515,38440,77010,61202,474703,3628,-1040,69041,939732,34773,28835,943360,229,165418,303239,32716,2985,33733,107611,16121,13136,402171
58,119,1442,13.6,45686,middlesex county,10603,2010,349,364,2164,55657,178177,13155,21910,15378,208026,1227,179,20844,424045,40339,38728,425272,50693,113462,103784,10981,1814,40518,29599,5362,3548,108060
59,121,17470,20.5,42827,montgomery county,85220,2010,1784,1989,26032,809104,2485330,144575,393282,270208,1893779,1340,-1664,279679,3080957,114273,27770,3082297,-311872,622919,565599,110992,10195,112609,528386,59620,49425,1844335
60,125,1956,13.1,47368,nelson county,14931,2010,381,386,3029,74215,183622,14068,20807,16400,300615,1833,-1029,22268,548123,45790,36718,549956,139261,116655,132686,14978,2653,44761,29007,6326,3673,109854
61,127,1037,5.8,67979,new kent county,17879,2010,327,335,2561,74785,200972,14081,23898,19808,783691,-847,-1085,23985,1016326,36894,54763,1015479,606704,122212,109576,18543,2565,35809,33802,6523,3958,131361
62,131,2258,18.7,35308,northampton county,12075,2010,314,337,3211,90178,259217,15263,28963,25302,226852,42877,30383,27914,393751,24554,35184,436628,-4451,87696,122080,12410,1725,54937,41614,6988,5263,162666
63,133,1766,14.4,46320,northumberland county,12264,2010,352,365,1844,54362,129957,12013,15941,12912,172155,-660,-1448,18469,454992,22842,36770,454332,60667,158752,123425,12356,1627,21394,22397,4407,2780,86166
64,135,2903,20.8,36975,nottoway county,13957,2010,305,324,3461,91950,277502,18468,47642,32826,228124,4056,2180,34881,454428,10762,28932,458484,-14497,77115,153245,15847,1495,12942,64055,7631,6136,200505
65,137,3517,10.7,53837,orange county,32869,2010,643,681,5445,191809,448105,31993,51872,44018,760883,11415,1783,54002,1258563,70633,37835,1269978,366780,253132,255963,33566,4223,72416,73881,13050,8827,301808
66,139,3725,15.7,37970,page county,23726,2010,392,421,4317,114173,296527,20745,37160,29604,431725,24603,22201,35547,715258,43212,30748,739861,170745,118933,189203,24062,2630,65413,51962,8781,6151,179152
67,141,3407,18.7,33678,patrick county,18219,2010,300,311,3971,93334,211156,16651,29866,22474,245801,2225,217,27888,488943,26787,26587,491168,62533,78745,166622,18474,2225,27004,41103,7690,5465,143049
68,143,9951,15.9,41031,pittsylvania county,62585,2010,818,857,8385,222185,1755419,122658,232083,199642,1613427,19049,11608,222479,3037908,100883,28700,3056957,80487,456552,986978,106516,8866,112491,331904,48651,39785,1311024
69,145,1821,7.1,70025,powhatan county,25648,2010,635,645,3917,122813,358853,23832,46189,34780,794855,523,-182,41222,1120062,53738,39832,1120585,477224,177453,148277,28133,3284,53556,63579,10054,6770,241718
70,147,4338,22.8,36100,prince edward county,19026,2010,501,548,6831,181721,408399,26279,57168,45626,303178,3581,2681,49092,561390,26124,24181,564971,-56129,96038,165755,23364,2191,28805,79981,11734,9543,299613
71,149,3002,9.7,59346,prince george county,30948,2010,409,439,6354,216234,2061943,102788,385820,254028,1126787,-4426,-4762,229802,1880578,45216,32190,1876152,-705354,346436,402929,58283,3318,40454,512834,33083,29765,1508655
72,153,24696,6.1,91290,prince william county,404852,2010,5993,6971,83363,3172665,9406817,532989,1109127,1018060,16640490,-1467,-4229,1042019,21619488,991213,47114,21618021,8275692,3171084,1806447,458846,48365,986984,1618157,194469,146104,6801676
73,155,5355,15.8,41184,pulaski county,33892,2010,590,654,10400,388238,563807,39299,76201,62700,596318,1106,-207,70649,1067927,53589,30693,1069033,103160,158060,314655,34830,2691,53382,107551,14654,11963,402874
74,157,720,9.8,57499,rappahannock county,7347,2010,184,184,922,27734,110865,8015,9637,8084,219659,-2751,-4334,12057,368508,39392,48755,365757,120851,94876,51222,7502,1620,35058,13679,3249,1629,62128
75,159,1377,18.5,40596,richmond county,7443,2010,183,192,2237,50440,144600,9550,22008,14948,135188,2627,792,17024,245293,10717,26727,247920,7612,49174,63558,9276,911,11509,29482,3993,3082,103609
76,161,6291,7.0,57720,roanoke county,89871,2010,1895,2102,30386,1090583,3636193,223291,445014,380032,3187853,55,-602,413307,4908468,375945,41841,4908523,-35033,857974,862696,117313,12907,375343,635030,76166,63259,2625820
77,163,2705,12.2,44502,rockbridge county,22172,2010,412,436,4575,131413,660296,44831,83256,73702,611927,-4616,-6539,81682,1141453,81835,31574,1136837,33313,249892,275018,36006,4537,75296,120107,18915,14378,464893
78,165,8054,10.8,49158,rockingham county,74574,2010,1308,1408,24261,808745,3190852,184707,398518,324182,2490235,113905,97240,346798,3725301,299453,30613,3839206,-353819,665920,683051,125412,15069,396693,560609,77309,62240,2233550
79,167,5173,18.1,34460,russell county,28580,2010,446,495,5600,172371,377244,29392,51608,42056,457358,-2246,-3768,50420,841459,39374,29066,839213,130534,101116,280739,28873,2576,35606,72636,10285,7709,269002
80,169,4248,18.9,33797,scott county,22476,2010,261,299,3398,103041,223833,20079,31519,24638,312280,-4717,-5404,32398,625772,21230,26854,621055,120845,85446,223329,23127,2671,15826,43838,8028,5357,164169
81,171,4862,11.7,46016,shenandoah county,41556,2010,862,920,11348,310801,654709,44567,81149,65492,837409,13688,10343,77313,1396346,91151,33534,1410034,260013,268540,304085,42048,5645,101494,113895,19765,14120,439320
82,173,5874,18.7,35437,smyth county,31412,2010,526,562,9223,279783,562100,39398,82954,62338,487000,-1398,-3117,70567,911424,48624,28263,910026,-4533,120777,302249,32198,3270,45507,114123,15541,12271,402470
83,175,2789,16.4,43232,southampton county,17006,2010,225,236,3136,126157,368975,25669,56306,39264,446150,-1888,-5576,45301,813672,28223,29822,811784,122476,134589,231045,27221,2404,22647,75938,11031,8627,270390
84,177,9645,7.9,72463,spotsylvania county,122089,2010,2087,2294,25691,820032,2918452,176265,348717,321702,4311356,-1551,-3027,337116,6165076,201664,41833,6163525,1730020,1059355,792814,147337,13795,198637,509568,73195,59400,2210247
85,179,6531,5.2,93185,stafford county,125596,2010,1904,2061,28223,1039442,2609110,145467,353741,285536,4542440,-2942,-3353,288235,6132424,231715,47202,6129482,2221565,1018048,568994,129857,11659,228362,496509,51543,39884,1884239
86,181,871,12.3,46112,surry county,7081,2010,77,82,0,0,233426,13407,40595,23806,146916,650,-389,25310,232667,6149,33118,233317,-61200,33384,53017,7045,620,5760,52498,3041,2421,175168
87,183,2132,22.5,37019,sussex county,9476,2010,170,193,2208,61371,179112,11778,27047,19198,178102,4302,2706,21377,312428,9177,26366,316730,20367,45192,93436,12013,806,11883,36646,4658,3852,130583
88,185,8035,18.5,35485,tazewell county,43432,2010,991,1132,13926,422935,799434,56568,109218,85610,761533,-679,-1545,99373,1412414,67724,31290,1411735,61472,210566,439636,45118,3619,66179,152023,21522,17903,581232
89,187,3812,10.3,55758,warren county,37010,2010,762,800,9141,286134,599368,38764,73879,63878,946945,-2978,-3729,70703,1434356,71774,38150,1431378,418280,255112,229321,37520,4244,68045,105818,16578,12334,425505
90,191,7500,14.1,39690,washington county,53191,2010,1095,1203,16897,654360,1736182,113797,212118,172690,1423545,-1566,-4702,200142,2496834,257489,34306,2495268,-112495,428945,642778,72735,8232,252787,298463,41679,33447,1184932
91,193,2555,14.7,45291,westmoreland county,17381,2010,324,342,2722,68828,161104,13075,21252,16098,301796,4984,-98,21124,586628,23246,33820,591612,161816,143748,146068,17493,2005,23148,29301,5902,3897,108655
92,195,8524,22.2,36789,wise county,38396,2010,694,837,10593,411045,1113086,73469,142784,125470,755124,1034,930,136204,1385696,50591,30419,1386730,-221758,161784,469822,45587,2968,51521,205519,23933,20965,856046
93,197,4578,15.8,37624,wythe county,28975,2010,630,687,8751,248060,508117,35021,73679,55314,462018,-992,-3509,62678,838417,46098,28628,837425,16579,122466,252941,29252,3188,42589,101336,15230,12042,364192
94,199,3407,5.3,77070,york county,64283,2010,1318,1451,17357,518387,1296236,79002,175479,140030,2594342,1514,782,149017,3773807,136562,48794,3775321,1447123,755248,425731,77372,6503,137344,245494,32059,25556,913398
95,510,12898,9.3,78023,alexandria city,138688,2010,4027,4490,78808,4465373,10033478,549450,1045199,1056772,8022104,0,0,1077836,10670343,1340703,75818,10670343,-933538,2015709,632530,140737,19658,1340703,1573585,123544,103886,7119190
96,550,17468,8.0,67674,chesapeake city,218350,2010,4589,5384,82824,2969563,5278047,314475,626508,581080,6612926,7047,2044,605015,9405681,400790,42110,9412728,1939894,1498536,1301266,223525,20055,402834,917048,121599,101544,3958165
97,650,17439,13.1,50923,hampton city,133122,2010,2014,2411,41878,1468937,4218730,229078,677540,509174,3025065,0,0,483665,4895276,150186,35623,4895276,-710000,863539,1006672,137418,9371,150186,932127,76859,67488,3136417
98,700,26088,15.1,49228,newport news city,172768,2010,3162,3759,85647,3584058,6471769,352095,1002773,722196,4027407,0,0,713193,6261985,299554,34615,6261985,-1731169,1016715,1217863,180905,13145,299554,1363871,119543,106398,4808344
99,710,39903,19.0,41015,norfolk city,210016,2010,4505,5840,114921,4981296,13400189,648567,2251879,1658104,4892106,0,0,1477619,8260186,528339,33990,8260186,-7030464,1710964,1657116,243019,18096,528339,3080931,210781,192685,9790919
100,740,16884,18.3,42740,portsmouth city,92262,2010,1558,1768,28414,957052,3354655,178576,601175,401362,1943423,0,0,379257,3298129,89665,34551,3298129,-1031975,544975,809731,95457,6700,89665,801856,57359,50659,2463134
101,760,48830,25.3,39214,richmond city,193004,2010,5240,6073,110547,5515292,11523164,653448,1391777,1171514,5010151,0,0,1239205,8615326,970669,42155,8615326,-5273808,1947396,1657779,204375,19211,970669,1977534,177780,158569,8574961
102,770,21414,22.4,37486,roanoke city,95598,2010,2716,3190,63018,2451877,3861531,231867,467322,452510,1947219,0,0,458122,3431805,270601,35481,3431805,-1456190,603840,880746,96722,8416,270601,693577,79022,70606,2897353
103,800,9956,11.9,62419,suffolk city,83664,2010,1321,1498,20698,730925,1536035,95390,191715,162448,2410385,10411,263,176614,3578560,160530,42293,3588971,1050964,598669,579917,84859,8207,160793,272939,34728,26521,1102303
104,810,34303,8.0,63354,virginia beach city,428788,2010,9130,10757,144704,5018650,10653650,597166,1447682,1223654,12864513,-107,-1718,1208993,19605681,715138,44673,19605574,3419856,4159945,2581116,438864,46407,713420,2059509,240301,193894,7880721
105,1,6359,19.3,37714,accomack county,32948,2011,699,786,9030,253150,647359,33489,86457,66730,597117,35831,30404,66854,1093129,56764,33977,1128960,16612,225985,305858,33227,3843,87168,119822,17567,13724,440369
106,3,9139,9.7,63972,albemarle county,94216,2011,2227,2446,36528,1632676,6031959,268098,724048,605106,4405347,706,-7579,570651,7648179,770186,53113,7648885,-1055961,2435184,808354,144011,22618,762607,1026601,114353,91735,4242751
107,5,2151,13.5,45108,alleghany county,15933,2011,218,231,2284,70299,455355,26042,55598,53004,387800,-2005,-2275,52544,723924,19466,32697,721919,-15011,110956,223163,22079,1352,17191,82100,9816,8464,356064
108,7,1503,11.9,49399,amelia county,12630,2011,265,271,1868,54066,145591,8186,14157,12752,268860,20378,17176,14562,413927,24755,34071,434305,137831,61969,103476,12747,1713,41931,20533,4323,2610,83127
109,9,4136,13.4,44494,amherst county,30866,2011,560,591,6632,198566,448764,26322,60793,48132,584024,-1790,-2453,50388,992016,39023,30791,990226,185648,144577,261625,32160,2916,36570,84859,12514,9598,327335
110,11,2209,14.8,44097,appomattox county,14926,2011,278,282,2355,53758,149727,10290,19904,15736,278183,-2004,-2670,18158,478660,19958,31558,476656,146614,65856,132617,15104,1709,17288,27772,5201,3492,104667
111,13,15894,7.4,98060,arlington county,214784,2011,4695,6101,134091,9781155,21024532,853232,2425999,2289728,13664715,0,0,1998096,17775526,1758438,82264,17775526,-5361721,3276096,834715,216078,28092,1758438,3570863,215762,187670,15695231
112,15,7041,10.0,51036,augusta county,70410,2011,1291,1373,18789,721130,2593517,137987,296578,256990,2664051,42642,35707,266482,4287429,394185,36455,4330071,337016,743697,922323,118778,13116,429892,425073,61537,48421,1738552
113,17,498,10.8,42423,bath county,4611,2011,126,128,1827,53777,117222,6331,12782,12356,99629,-469,-915,12509,205431,20488,44031,204962,-5084,63118,42215,4655,659,19573,18960,2994,2335,78689
114,19,6345,9.2,58264,bedford county,68967,2011,1317,1366,12049,415031,991258,60410,106962,104002,1782465,-3182,-4838,112411,2831957,156843,37440,2828775,903618,475873,570437,75555,9455,152005,158963,29546,20091,680290
115,21,879,14.4,41654,bland county,6104,2011,73,79,1192,51422,113793,6432,18616,12080,112492,-474,-843,12472,200889,8505,29577,200415,11171,30274,57649,6776,814,7662,24656,2867,2053,81475
116,23,2432,7.5,62204,botetourt county,32427,2011,672,727,9198,343785,505964,29126,56065,53496,904858,-259,-1436,55874,1368916,71116,41473,1368657,454768,224858,238941,33001,4115,69680,82813,13454,9339,353471
117,25,3840,25.6,35207,brunswick county,15000,2011,259,267,2753,71201,185538,11508,26366,20356,231794,5522,3937,21686,459071,10528,27139,464593,67942,67288,165511,17119,1255,14465,36544,5802,4547,134529
118,27,5459,24.3,32722,buchanan county,22465,2011,419,453,6483,310959,533574,31325,59977,59342,392558,-313,-358,60996,760808,32149,31907,760495,-80020,94304,273633,23835,1246,31791,89648,10061,8815,412135
119,29,3190,21.3,37440,buckingham county,14977,2011,238,250,1725,58937,180016,10525,24209,17282,241553,6909,5935,19166,415690,22814,24545,422599,80703,62350,118696,17217,1345,28749,32850,4763,3418,118417
120,31,8303,15.2,47450,campbell county,54625,2011,1049,1130,13668,520295,3790577,184741,416189,431416,2397175,1311,-469,400449,4336203,234234,33007,4337514,-992953,701983,1238356,131413,12054,233765,631897,84317,72263,2924915
121,33,3422,12.2,52496,caroline county,28049,2011,355,377,3747,136897,302218,17173,43440,32044,656162,3576,1932,33195,992135,32213,34728,995711,387139,144701,194848,28672,2562,34145,59462,8372,5810,208611
122,35,5929,19.9,34891,carroll county,29794,2011,379,399,4374,109484,542550,33242,67215,59216,542200,4448,2668,62850,1065247,62629,28960,1069695,62500,144507,382988,36937,3352,65297,96823,16312,12960,380430
123,36,843,11.7,45960,charles city county,7205,2011,132,134,1274,43903,96846,5576,10325,9672,154190,4965,3925,10412,248313,13642,35178,253278,67756,42289,56799,7200,538,17567,15161,2196,1658,64118
124,37,2572,20.9,35677,charlotte county,12306,2011,226,237,1671,43339,131214,8972,18134,12466,170713,4328,2839,15205,344037,21060,27876,348365,54704,58586,119066,12497,1924,23899,24367,4845,2921,82948
125,41,22569,7.2,71074,chesterfield county,313458,2011,5721,6658,95418,3920395,7186141,341305,809199,794722,9953773,1169,439,738666,14122768,542421,44090,14123937,3506298,2345907,1824257,320344,36693,542860,1206560,158757,122064,5436721
126,43,1145,8.2,74472,clarke county,13963,2011,360,370,3117,129063,265518,13712,23035,24664,498013,7929,4409,26044,751053,62043,53461,758982,258539,175338,85631,14197,2755,66452,35367,6902,4147,163699
127,45,619,12.2,45789,craig county,5074,2011,55,55,372,9883,36355,2923,4824,3396,91634,-669,-1091,4621,159731,8240,30766,159062,59900,26618,40810,5170,608,7149,6522,1338,730,22684
128,47,5335,11.7,58596,culpeper county,45598,2011,885,944,11196,421798,882575,44461,98226,88786,1247606,4660,66,88854,1838669,145964,38932,1843329,453885,303679,292044,47347,6373,146030,142619,21888,15515,593926
