,GeoFIPS,GeoName,Earnings by place of work,Employee and self-employed contributions for government social insurance,Employer contributions for employee pension and insurance funds 8,Employer contributions for government social insurance,Equals: Net earnings by place of residence,Farm income 2,Farm proprietors' income,Less: Contributions for government social insurance 5,Nonfarm personal income 1,Nonfarm proprietors' income,Per capita personal income (dollars) 4,Personal income (thousands of dollars),Plus: Adjustment for residence 6,"Plus: Dividends, interest, and rent 7",Plus: Personal current transfer receipts,Population (persons) 3,Proprietors employment,Proprietors' income 9,Supplements to wages and salaries,Total employment,Wage and salary employment,Wages and salaries,year
46," ""51115""","Mathews, VA",88199,6754,8215,6862,210402,389,284,10185,423503,29989,47394,423892,132388,130713,82777,8944,1355,30273,11646,2969,1614,46280,2011
47," ""51117""","Mecklenburg, VA",542562,31800,71933,61314,481719,4145,35,62457,963989,38973,29727,968134,1614,178047,308368,32567,3073,39008,102590,16065,12992,400964,2011
48," ""51119""","Middlesex, VA",181090,11242,20590,15700,212637,2187,1266,19092,436114,42261,40378,438301,50639,117563,108101,10855,1755,43527,28440,5265,3510,109123,2011
49," ""51125""","Nelson, VA",191235,12270,20418,17080,320957,2446,44,20810,581298,49379,38867,583744,150532,126887,135900,15019,2676,49423,28958,6374,3698,112854,2011
50," ""51127""","New Kent, VA",204536,11774,23108,20308,839161,1407,1220,21928,1083898,37216,57843,1085305,656553,132651,113493,18763,2607,38436,33262,6592,3985,132838,2011
51," ""51131""","Northampton, VA",257552,12722,26580,24698,229582,42118,31886,25071,415626,25828,36897,457744,-2899,99938,128224,12406,1706,57714,38929,6686,4980,160909,2011
52," ""51133""","Northumberland, VA",137725,10713,14992,13380,187813,3800,3103,17403,484417,23134,39208,488217,67491,168255,132149,12452,1684,26237,21682,4406,2722,89806,2011
53," ""51135""","Nottoway, VA",282357,15203,46818,33832,224882,4809,3121,32119,461739,10534,29359,466548,-25356,84559,157107,15891,1506,13655,63734,7621,6115,204968,2011
54," ""51137""","Orange, VA",447923,26695,51025,43858,799457,9705,1355,48624,1325854,76947,39302,1335559,400158,275546,260556,33982,4265,78302,72954,13100,8835,296667,2011
55," ""51139""","Page, VA",295645,17689,34545,30394,434872,23125,20963,32886,742041,45248,31940,765166,172113,132875,197419,23956,2676,66211,49742,8867,6191,179692,2011
56," ""51141""","Patrick, VA",214899,14434,28137,22618,251731,2613,1027,25743,501452,31370,27486,504065,62575,81830,170504,18339,2269,32397,39446,7601,5332,143056,2011
57," ""51145""","Powhatan, VA",368278,19972,45193,36208,814984,923,311,38076,1163510,55703,41383,1164433,484782,192898,156551,28138,3321,56014,63297,10212,6891,248967,2011
58," ""51147""","Prince Edward, VA",406852,21022,54765,45396,306897,2991,2208,43720,571824,30927,25744,574815,-56235,99935,167983,22328,2205,33135,77463,11803,9598,296254,2011
59," ""51155""","Pulaski, VA",638299,35562,79236,73176,638598,3115,1971,72150,1118109,57248,32274,1121224,72449,167973,314653,34741,2641,59219,115824,15581,12940,463256,2011
60," ""51157""","Rappahannock, VA",119937,7161,9417,8502,220010,-1519,-2943,11412,390247,44299,51983,388728,111485,115925,52793,7478,1667,41356,13668,3287,1620,64913,2011
61," ""51159""","Richmond, VA",146202,7791,21125,15132,138654,4337,2620,15357,252772,10530,27934,257109,7809,50721,67734,9204,915,13150,28691,3979,3064,104361,2011
62," ""51167""","Russell, VA",379025,24950,47377,42746,468176,-1180,-2595,46323,857904,41490,29871,856724,135474,100790,287758,28681,2539,38895,68750,10122,7583,271380,2011
63," ""51169""","Scott, VA",227226,17342,29899,25020,336856,-3607,-4168,29852,664302,24160,28660,660695,139482,96502,227337,23053,2782,19992,42409,8082,5300,164825,2011
64," ""51171""","Shenandoah, VA",674038,37413,77813,68026,877241,19729,16826,71426,1462751,95144,35075,1482480,274629,293074,312165,42266,5779,111970,111826,19994,14215,450242,2011
65," ""51173""","Smyth, VA",577014,32981,78619,63818,514296,4058,2589,64890,947668,54293,29691,951726,2172,131797,305633,32054,3319,56882,110528,15631,12312,409604,2011
66," ""51179""","Stafford, VA",2847109,123203,381445,317458,4746637,-2869,-3228,281932,6432827,241485,48619,6429958,2181460,1074467,608854,132251,12211,238257,540174,54515,42304,2068678,2011
67," ""51181""","Surry, VA",243835,10697,41471,25088,149598,5184,4421,23241,233201,5364,34434,238385,-70996,35316,53471,6923,544,9785,54015,3047,2503,180035,2011
68," ""51183""","Sussex, VA",188183,9635,26566,19534,182658,11154,9904,19402,310801,7995,26634,321955,13877,44704,94593,12088,842,17899,36333,4709,3867,133951,2011
69," ""51185""","Tazewell, VA",814565,47097,102781,88368,799985,802,10,91281,1466417,72104,32799,1467219,76701,218541,448693,44733,3820,72114,146965,21520,17700,595486,2011
70," ""51187""","Warren, VA",609945,31877,70147,65310,1002942,-1978,-2621,64532,1527094,79432,40503,1525116,457529,284037,238137,37654,4303,76811,102802,16709,12406,430332,2011
71," ""51193""","Westmoreland, VA",170549,11549,20397,16700,320056,9632,5372,19899,611489,25099,35213,621121,169406,150503,150562,17639,2046,30471,28747,5982,3936,111331,2011
72," ""51197""","Wythe, VA",521939,29269,70964,57736,472099,3012,822,58137,849333,45995,29186,852345,8297,124023,256223,29204,3382,46817,99832,15596,12214,375290,2011
73," ""51510""","Alexandria (Independent City), VA",9734373,412601,968463,1032978,8404833,0,0,929090,11272972,1327448,78139,11272972,-400450,2211781,656358,144269,20323,1327448,1484952,120806,100483,6921973,2011
74," ""51550""","Chesapeake (Independent City), VA",5328484,249261,596790,596850,6801187,7766,3671,547686,9774458,409945,43407,9782224,2020389,1623524,1357513,225360,20778,413616,895215,122009,101231,4019653,2011
75," ""51650""","Hampton (Independent City), VA",4203178,178264,670845,515450,3056879,0,0,435989,5004658,154635,36623,5004658,-710310,899616,1048163,136652,9710,154635,928570,76136,66426,3119973,2011
76," ""51700""","Newport News (Independent City), VA",6729514,284697,963168,760158,4206635,0,0,664776,6567503,398988,36458,6567503,-1858103,1093520,1267348,180139,13840,398988,1343247,119929,106089,4987279,2011
77," ""51710""","Norfolk (Independent City), VA",13211127,490282,2204381,1696576,4846825,0,0,1338570,8428774,355861,34587,8428774,-7025732,1860557,1721392,243701,19712,355861,3052669,210323,190611,9802597,2011
78," ""51740""","Portsmouth (Independent City), VA",3504498,144396,631821,425890,2002124,0,0,357341,3420267,109047,35714,3420267,-1145033,577345,840798,95767,6971,109047,844766,58015,51044,2550685,2011
79," ""51760""","Richmond (Independent City), VA",11662573,509990,1322167,1204684,5411232,0,0,1112332,9303034,1126620,45054,9303034,-5139009,2192227,1699575,206487,21430,1126620,1924509,181036,159606,8611444,2011
80," ""51770""","Roanoke (Independent City), VA",3969888,186646,448760,472350,2027730,0,0,422821,3555924,312037,36738,3555924,-1519337,631963,896231,96791,8969,312037,684935,79751,70782,2972916,2011
81," ""51800""","Suffolk (Independent City), VA",1565506,77432,184426,167948,2467011,15401,6748,161406,3691253,166656,43706,3706654,1062911,629248,610395,84808,8510,173404,268400,35183,26673,1123702,2011
82," ""51810""","Virginia Beach (Independent City), VA",11143035,487976,1460255,1288116,13387358,4022,2676,1132034,20514218,851578,46353,20518240,3376357,4439951,2690931,442654,48029,854254,2104313,241829,193800,8184468,2011
83," ""51901""","Albemarle + Charlottesville, VA*",6031959,268098,724048,605106,4405347,706,-7579,570651,7648179,770186,53113,7648885,-1055961,2435184,808354,144011,22618,762607,1026601,114353,91735,4242751,2011
84," ""51903""","Alleghany + Covington, VA*",455355,26042,55598,53004,387800,-2005,-2275,52544,723924,19466,32697,721919,-15011,110956,223163,22079,1352,17191,82100,9816,8464,356064,2011
85," ""51907""","Augusta, Staunton + Waynesboro, VA*",2593517,137987,296578,256990,2664051,42642,35707,266482,4287429,394185,36455,4330071,337016,743697,922323,118778,13116,429892,425073,61537,48421,1738552,2011
86," ""51911""","Campbell + Lynchburg, VA*",3790577,184741,416189,431416,2397175,1311,-469,400449,4336203,234234,33007,4337514,-992953,701983,1238356,131413,12054,233765,631897,84317,72263,2924915,2011
87," ""51913""","Carroll + Galax, VA*",542550,33242,67215,59216,542200,4448,2668,62850,1065247,62629,28960,1069695,62500,144507,382988,36937,3352,65297,96823,16312,12960,380430,2011
88," ""51918""","Dinwiddie, Colonial Heights + Petersburg, VA*",1563767,80665,203750,176636,1490060,7529,6465,168983,2762523,81600,35745,2770052,95276,432946,847046,77495,7270,88065,292068,40780,33510,1183634,2011
89," ""51919""","Fairfax, Fairfax City + Falls Church, VA*",66170787,2894463,5612252,6968558,58373508,3522,1878,6378742,80061140,5284726,70311,80064662,-1418537,16750601,4940553,1138729,164309,5286604,9096531,838615,674306,51787652,2011
90," ""51921""","Frederick + Winchester, VA*",2977775,140113,332165,328590,2963385,1825,-1966,304408,4317430,290474,40678,4319255,290018,728709,627161,106182,12957,288508,496460,65812,52855,2192807,2011
91," ""51923""","Greensville + Emporia, VA*",357427,17849,50867,40912,259220,9555,8769,38305,461912,8450,26425,471467,-59902,63119,149128,17842,1059,17219,71323,9772,8713,268885,2011
92," ""51929""","Henry + Martinsville, VA*",1117840,67735,140519,128066,1027253,7101,6424,131768,2093725,91896,31285,2100826,41181,366548,707025,67152,5939,98320,204552,31797,25858,814968,2011
93," ""51931""","James City + Williamsburg, VA*",2159849,108542,243010,225234,2695456,-12,-488,221159,4493822,296861,54514,4493810,756766,1162626,635728,82434,10740,296373,355627,53506,42766,1507849,2011
94," ""51933""","Montgomery + Radford, VA*",2499064,114000,377298,275018,1948941,4044,1492,251509,3208500,106784,28792,3212544,-298614,685115,578488,111578,10480,108276,514807,60038,49558,1875981,2011
95," ""51939""","Pittsylvania + Danville, VA*",1789949,102341,224717,206386,1662849,20326,13873,205534,3128730,106928,29729,3149056,78434,477419,1008788,105926,9569,120801,327910,50292,40723,1341238,2011
96," ""51941""","Prince George + Hopewell, VA*",2221648,84314,417687,279728,1157667,1034,717,224178,1946018,48975,32871,1947052,-839803,369602,419783,59234,3423,49692,557551,33901,30478,1614405,2011
97," ""51942""","Prince William, Manassas + Manassas Park, VA*",9886478,434594,1128219,1082030,17691964,-30,-2305,975609,23015506,1129268,48625,23015476,8781095,3398109,1925403,473323,51094,1126963,1669234,201788,150694,7090281,2011
98," ""51944""","Roanoke + Salem, VA*",3713873,180643,427946,402884,3281835,223,-382,382085,5043841,382397,42793,5044064,-49953,897022,865207,117871,13174,382015,629388,76410,63236,2702470,2011
99," ""51945""","Rockbridge, Buena Vista + Lexington, VA*",664022,36752,78745,74894,624721,-542,-2224,74199,1184100,83721,32748,1183558,34898,276584,282253,36141,4621,81497,116192,18803,14182,466333,2011
100," ""51947""","Rockingham + Harrisonburg, VA*",3270959,148991,379402,337166,2585398,131382,116220,317574,3908437,310656,31855,4039819,-367987,737025,717396,126818,15628,426876,547985,78824,63196,2296098,2011
101," ""51949""","Southampton + Franklin, VA*",393927,21164,52785,39444,477567,24301,20997,40886,843686,30888,32046,867987,124526,153147,237273,27086,2529,51885,72507,10962,8433,269535,2011
102," ""51951""","Spotsylvania + Fredericksburg, VA*",2972236,141913,324835,330386,4527283,387,-845,307106,6519609,228939,43375,6519996,1862153,1152784,839929,150316,14433,228094,490028,73457,59024,2254114,2011
103," ""51953""","Washington + Bristol, VA*",1791779,94677,200466,178952,1521216,2432,-276,184153,2687909,293791,37075,2690341,-86410,516921,652204,72565,8473,293515,289942,42037,33564,1208322,2011
104," ""51955""","Wise + Norton, VA*",1109799,58647,135829,128758,768909,1035,949,123026,1419634,49148,31191,1420669,-217864,165695,486065,45548,2944,50097,200208,24192,21248,859494,2011
105," ""51958""","York + Poquoson, VA*",1304530,64124,166428,146342,2623489,833,179,137295,3904856,133058,50177,3905689,1456254,831929,450271,77839,6632,133237,239599,32731,26099,931694,2011
0," ""51000""",Virginia,283275330,12672802,31077087,30649784,272126011,638401,325155,27997694,403541342,28366026,49366,404179743,16848375,80147376,51906356,8187456,930360,28691181,46401979,4856886,3926526,208182170,2012
1," ""51001""","Accomack, VA",686271,34773,89012,71102,619517,33910,26841,70324,1155672,68692,35749,1189582,3570,261375,308690,33276,3808,95533,124563,17588,13780,466175,2012
2," ""51007""","Amelia, VA",163259,8637,14592,13444,288481,22276,17603,15359,434426,35975,35845,456702,140581,65995,102226,12741,1642,53578,21314,4255,2613,88367,2012
3," ""51009""","Amherst, VA",466205,26648,62966,49788,594634,-812,-1783,51542,1021395,42913,31268,1020583,179971,165632,260317,32640,2850,41130,87860,12588,9738,337215,2012
4," ""51011""","Appomattox, VA",145833,9916,19185,14856,281679,83,-1000,17344,484514,20456,31798,484597,153190,74054,128864,15240,1688,19456,26613,5079,3391,99764,2012
5," ""51013""","Arlington, VA",20468349,830188,2259658,2224418,14231522,0,0,1942397,18580002,1948098,83839,18580002,-4294430,3563474,785006,221614,28965,1948098,3371867,212248,183283,15148384,2012
6," ""51017""","Bath, VA",120612,6317,12631,11940,104143,41,-589,12287,230329,20845,49627,230370,-4182,81789,44438,4642,628,20256,18601,3012,2384,81755,2012
7," ""51019""","Bedford, VA*",1033559,61273,109436,107844,1853787,-2085,-4380,115195,2978842,174373,39295,2976757,935423,543111,579859,75755,9466,169993,163358,29755,20289,700208,2012
8," ""51021""","Bland, VA",114941,6373,18443,12132,114733,-47,-500,12439,203608,10384,30414,203561,12231,31530,57298,6693,800,9884,24509,2874,2074,80548,2012
9," ""51023""","Botetourt, VA",552442,30492,61127,59188,925547,525,-1152,60086,1419429,79902,42872,1419954,433191,249702,244705,33121,3984,78750,90721,13837,9853,382971,2012
10," ""51025""","Brunswick, VA",197539,11811,27375,21478,239258,7837,5466,22550,463176,13137,27669,471013,64269,72336,159419,17023,1231,18603,38114,5768,4537,140822,2012
11," ""51027""","Buchanan, VA",544748,31165,64893,60684,398844,-99,-167,61507,766494,33909,32154,766395,-84397,96531,271020,23835,1242,33742,95235,10191,8949,415771,2012
12," ""51029""","Buckingham, VA",191638,10899,25361,18670,246671,7110,5674,20234,424552,24626,25286,431662,75267,65106,119885,17071,1344,30300,34696,4886,3542,126642,2012
13," ""51033""","Caroline, VA",305835,17303,42935,32212,674912,2426,23,33409,1045007,37376,36181,1047433,402486,172854,199667,28950,2658,37399,59041,8528,5870,209395,2012
14," ""51036""","Charles City, VA",100342,5620,10768,10550,158982,5803,4254,10895,259750,12010,37281,265553,69535,50624,55947,7123,520,16264,16043,2260,1740,68035,2012
15," ""51037""","Charlotte, VA",139376,9081,18888,13296,177734,4523,2260,15729,351113,23594,28680,355636,54087,61775,116127,12400,1901,25854,25536,4900,2999,87986,2012
16," ""51041""","Chesterfield, VA",7650014,358589,834263,841862,10411153,1500,340,779520,14913476,656699,46042,14914976,3540659,2624635,1879188,323942,36786,657039,1255194,163408,126622,5737781,2012
17," ""51043""","Clarke, VA",276303,13570,23671,25790,499676,12824,7829,26465,748897,61491,53435,761721,249838,174358,87687,14255,2691,69320,36566,6797,4106,170417,2012
18," ""51045""","Craig, VA",37705,2939,4658,3410,97988,-599,-1251,4644,169667,9684,32899,169068,64927,29173,41907,5139,639,8433,6363,1357,718,22909,2012
19," ""51047""","Culpeper, VA",946261,46007,101981,94072,1299315,7195,173,93043,1929944,169812,40484,1937139,446097,338980,298844,47850,6454,169985,149017,22484,16030,627259,2012
20," ""51049""","Cumberland, VA",74649,4976,8827,6290,175247,8778,7431,8121,291937,13825,30545,300715,108719,44164,81304,9845,764,21256,11972,2166,1402,41421,2012
21," ""51051""","Dickenson, VA",220684,14576,28113,23042,214696,-1884,-1961,26097,444110,19712,28153,442226,20109,52792,174738,15708,810,17751,39634,4889,4079,163299,2012
22," ""51057""","Essex, VA",184458,10183,21280,19320,219073,3983,2914,19843,392824,22580,35642,396807,54458,76402,101332,11133,1259,25494,30940,5419,4160,128024,2012
23," ""51061""","Fauquier, VA",1563210,73857,147281,150618,2702560,-406,-15277,149166,4118301,326816,61861,4117895,1288516,1051827,363508,66567,10384,311539,222590,33708,23324,1029081,2012
24," ""51063""","Floyd, VA",153668,10004,17105,13922,293459,3526,-828,16965,495421,39477,32319,498947,156756,85242,120246,15438,2523,38649,24066,5732,3209,90953,2012
25," ""51065""","Fluvanna, VA",258410,15785,31086,24042,604795,283,-417,27806,960940,53378,37129,961223,374191,191902,164526,25889,2877,52961,43107,7406,4529,162342,2012
26," ""51067""","Franklin, VA",719991,43174,75833,73034,1092275,18268,12386,79691,1934137,130002,34683,1952405,451975,401303,458827,56293,6961,142388,112350,21482,14521,465253,2012
27," ""51071""","Giles, VA",289825,16670,37261,31146,334144,-725,-1350,32243,573761,32125,33660,573036,76562,84635,154257,17024,1706,30775,52834,7005,5299,206216,2012
28," ""51073""","Gloucester, VA",464691,26376,55488,45354,1002252,2270,1480,49053,1574786,76040,42798,1577056,586614,307498,267306,36849,3761,77520,78165,13870,10109,309006,2012
29," ""51075""","Goochland, VA",1197766,54797,99230,124158,1039414,2011,1,116876,1758981,66819,82143,1760992,-41476,556129,165449,21438,3457,66820,161309,16318,12861,969637,2012
30," ""51077""","Grayson, VA",114520,9754,15408,11140,209074,1631,-418,15324,419690,22261,27817,421321,109878,65628,146619,15146,1979,21843,20978,4563,2584,71699,2012
31," ""51079""","Greene, VA",216760,12183,20615,21012,462292,1086,-70,22689,691381,47594,36773,692467,268221,115535,114640,18831,1938,47524,31121,5760,3822,138115,2012
32," ""51083""","Halifax, VA",595828,34053,80967,66092,555503,8477,4210,67099,1072445,47662,30244,1080922,26774,189355,336064,35740,3332,51872,114013,16241,12909,429943,2012
33," ""51085""","Hanover, VA",2651843,125416,263340,291338,3438457,14045,5301,271085,4891504,299629,48889,4905549,1057699,870234,596858,100340,13222,304930,409009,62307,49085,1937904,2012
34," ""51087""","Henrico, VA",13911021,619299,1177718,1393542,11716757,2030,679,1316070,16635182,2357234,52720,16637212,-878194,3027518,1892937,315575,40172,2357913,1874489,230116,189944,9678619,2012
35," ""51091""","Highland, VA",31691,1809,3638,2396,33764,6457,5649,3007,76774,4739,37256,83231,5080,28590,20877,2234,698,10388,4836,1308,610,16467,2012
36," ""51093""","Isle of Wight, VA",602845,31774,63502,60826,1178772,9880,7832,62187,1702474,69782,48437,1712354,638114,268192,265390,35352,3534,77614,93915,14150,10616,431316,2012
37," ""51097""","King and Queen, VA",72095,4488,7679,6518,148746,3917,2701,7747,239311,15333,34707,243228,84398,38706,55776,7008,730,18034,10938,1873,1143,43123,2012
38," ""51099""","King George, VA",1107813,44942,178061,127164,795509,494,-58,108524,1153076,81356,46865,1153570,-203780,233295,124766,24615,2359,81298,241643,13562,11203,784872,2012
39," ""51101""","King William, VA",211991,11580,22542,21834,426198,2510,1749,22497,632244,29452,39729,634754,236704,102056,106500,15977,1729,31201,33459,5403,3674,147331,2012
40," ""51103""","Lancaster, VA",243699,14634,25901,24858,202978,12,-459,27063,537004,36605,48271,537016,-13658,203506,130532,11125,1958,36146,38330,7002,5044,169223,2012
41," ""51105""","Lee, VA",263929,17875,39748,27840,334099,-2459,-3553,31795,674349,31083,26418,671890,101965,89398,248393,25433,2366,27530,53668,7908,5542,182731,2012
42," ""51107""","Loudoun, VA",11783364,509942,1092733,1252710,18880461,-326,-15088,1136297,23428626,1052735,69335,23428300,8233394,3528008,1019831,337902,44494,1037647,1719088,195925,151431,9026629,2012
43," ""51109""","Louisa, VA",592528,30646,72297,60538,761253,324,-1433,60915,1213566,73305,36391,1213890,229640,217338,235299,33357,3705,71872,102566,12568,8863,418090,2012
44," ""51111""","Lunenburg, VA",128184,8285,17187,13906,170431,1973,-412,15238,343414,13010,27327,345387,57485,68999,105957,12639,991,12598,24140,3772,2781,91446,2012
45," ""51113""","Madison, VA",201722,11032,17696,15878,340271,2487,-944,18971,543428,73265,41562,545915,157520,114164,91480,13135,2050,72321,25635,5307,3257,103766,2012
46," ""51115""","Mathews, VA",89328,6572,8265,6738,215768,320,265,9941,425275,32193,47761,425595,136381,125257,84570,8911,1339,32458,11634,2953,1614,45236,2012
47," ""51117""","Mecklenburg, VA",543727,31412,70361,61374,491094,8508,2430,62099,986969,43135,31405,995477,9466,190855,313528,31698,2973,45565,101048,15725,12752,397114,2012
48," ""51119""","Middlesex, VA",183792,11004,20720,15578,216118,2332,980,18793,457776,47534,42402,460108,51119,132418,111572,10851,1795,48514,28509,5279,3484,106769,2012
49," ""51125""","Nelson, VA",208367,12557,21628,17544,338133,4748,1362,21329,617365,57300,42029,622113,151095,148439,135541,14802,2709,58662,30400,6539,3830,119305,2012
50," ""51127""","New Kent, VA",224070,12487,23920,21778,890540,1363,1105,23376,1166244,45896,60978,1167607,689846,158575,118492,19148,2724,47001,34809,6748,4024,142260,2012
51," ""51131""","Northampton, VA",259852,12475,26783,24318,242241,43459,29433,24634,440618,31722,39649,484077,7023,111531,130305,12209,1721,61155,38942,6522,4801,159755,2012
52," ""51133""","Northumberland, VA",141467,10753,15718,13750,197666,2431,1405,17628,518635,27653,41950,521066,73827,186444,136956,12421,1682,29058,22593,4399,2717,89816,2012
53," ""51135""","Nottoway, VA",284448,15202,47872,34258,217380,3755,1204,32331,456914,10965,29234,460669,-34737,87604,155685,15758,1479,12169,65001,7540,6061,207278,2012
54," ""51137""","Orange, VA",485768,27735,54661,47104,851691,9140,-3006,51287,1437327,89064,42217,1446467,417210,319623,275153,34263,4320,86058,78213,13455,9135,321497,2012
55," ""51139""","Page, VA",290296,17336,32792,30102,431223,20274,17019,32387,741313,47761,31944,761587,173314,134063,196301,23841,2654,64780,47843,8659,6005,177673,2012
56," ""51141""","Patrick, VA",226867,14674,29082,23660,264002,3421,1324,26504,512155,36306,28114,515576,63639,80142,171432,18339,2254,37630,40912,7660,5406,148325,2012
57," ""51145""","Powhatan, VA",404257,21167,48535,39662,854737,1067,172,40998,1241248,65340,44076,1242315,491478,223681,163897,28186,3286,65512,68366,10599,7313,270379,2012
58," ""51147""","Prince Edward, VA",428807,21644,57030,46870,322332,3918,2776,45079,596548,38496,25897,600466,-61396,107950,170184,23187,2191,41272,80465,11789,9598,307070,2012
59," ""51155""","Pulaski, VA",670264,36234,84557,78618,670759,3623,1944,75543,1164017,59972,33617,1167640,76038,176096,320785,34734,2693,61916,123866,16290,13597,484482,2012
60," ""51157""","Rappahannock, VA",131534,7275,10443,8972,229454,327,-1809,11761,405990,46736,54804,406317,109681,123764,53099,7414,1680,44927,14929,3380,1700,71678,2012
61," ""51159""","Richmond, VA",149007,7738,21105,15240,142594,4896,2230,15358,265342,12083,29775,270238,8945,57420,70224,9076,925,14313,28725,3917,2992,105969,2012
62," ""51167""","Russell, VA",397302,25321,49054,44526,462138,-1852,-4050,47584,853632,46574,29962,851780,112420,109987,279655,28429,2512,42524,71317,10213,7701,283461,2012
63," ""51169""","Scott, VA",228103,17072,29625,25170,338303,-3508,-4284,29657,660467,27652,28618,656959,139857,94140,224516,22956,2730,23368,42210,7960,5230,162525,2012
64," ""51171""","Shenandoah, VA",710410,38180,78585,70542,926344,22249,17978,73451,1518647,115816,36229,1540896,289385,292996,321556,42532,5710,133794,113856,19804,14094,462760,2012
65," ""51173""","Smyth, VA",589807,33154,80407,65692,532947,2336,226,66000,975835,60938,30653,978171,9140,141777,303447,31911,3214,61164,113253,15495,12281,415390,2012
66," ""51179""","Stafford, VA",2991538,127949,404128,333718,4847358,-3295,-3824,294808,6624168,270734,49614,6620873,2150628,1144119,629396,133449,12220,266910,570987,55593,43373,2153641,2012
67," ""51181""","Surry, VA",233593,10433,35157,23882,151336,6527,5583,22374,234832,6076,35266,241359,-59883,36519,53504,6844,553,11659,47098,2937,2384,174836,2012
68," ""51183""","Sussex, VA",195798,9824,26815,20482,183274,11800,10156,20065,311247,8751,27085,323047,7541,45837,93936,11927,778,18907,37056,4627,3849,139835,2012
69," ""51185""","Tazewell, VA",813170,46053,103632,87598,807156,1274,53,89852,1492570,79500,33739,1493844,83838,246378,440310,44276,3756,79553,147431,21227,17471,586186,2012
70," ""51187""","Warren, VA",658948,33455,72760,70744,1041722,-1020,-1952,68827,1519970,93640,40080,1518950,451601,233137,244091,37898,4255,91688,108132,16879,12624,459128,2012
71," ""51193""","Westmoreland, VA",173156,11453,20349,16850,322526,10522,4513,19878,630759,27688,36613,641281,169248,162369,156386,17515,2035,32201,28774,5836,3801,112181,2012
72," ""51197""","Wythe, VA",537564,29553,72280,60188,473410,1954,-1249,59647,876466,49941,29949,878420,-4507,140552,264458,29331,3425,48692,102374,15646,12221,386498,2012
73," ""51510""","Alexandria (Independent City), VA",10183159,426710,1010887,1072508,8803589,0,0,962964,11951904,1511310,81096,11951904,-416606,2498919,649396,147379,21222,1511310,1547141,122492,101270,7124708,2012
74," ""51550""","Chesapeake (Independent City), VA",5472022,253173,605181,624282,6989519,7582,1955,565314,10059301,414931,44127,10066883,2082811,1693668,1383696,228134,20633,416886,917322,122642,102009,4137814,2012
75," ""51650""","Hampton (Independent City), VA",4176014,177867,654348,513412,3087448,0,0,434573,5066199,171370,36920,5066199,-653993,897842,1080909,137222,9832,171370,911054,76460,66628,3093590,2012
76," ""51700""","Newport News (Independent City), VA",7111851,295111,1031341,819202,4302405,0,0,704712,6718946,432695,37297,6718946,-2104734,1127669,1288872,180148,14051,432695,1440942,119956,105905,5238214,2012
77," ""51710""","Norfolk (Independent City), VA",13325695,496707,2184906,1715038,5015645,0,0,1354226,8722547,437992,35422,8722547,-6955824,2021468,1685434,246247,19554,437992,3042425,207067,187513,9845278,2012
78," ""51740""","Portsmouth (Independent City), VA",3602306,147396,657345,443904,2005218,0,0,369348,3394242,103927,35168,3394242,-1227740,548345,840679,96516,7087,103927,879297,58573,51486,2619082,2012
79," ""51760""","Richmond (Independent City), VA",11899012,509724,1336437,1225186,5783693,0,0,1122317,10236240,1289606,48531,10236240,-4993002,2764828,1687719,210922,21712,1289606,1949030,180453,158741,8660376,2012
80," ""51770""","Roanoke (Independent City), VA",4117480,190440,457186,494300,2103427,0,0,437590,3786396,326453,38623,3786396,-1576463,769742,913227,98034,9039,326453,704336,80666,71627,3086691,2012
81," ""51800""","Suffolk (Independent City), VA",1795570,86067,194834,194186,2543032,19875,7542,183160,3884419,190336,45761,3904294,930622,737918,623344,85320,8432,197878,291927,37098,28666,1305765,2012
82," ""51810""","Virginia Beach (Independent City), VA",11621397,505528,1492137,1340640,13955085,2169,262,1175848,21508200,934154,48317,21510369,3509536,4837877,2717407,445189,48532,934416,2162457,244114,195582,8524524,2012
83," ""51901""","Albemarle + Charlottesville, VA*",6425249,278159,745766,630378,4767788,7558,-4799,593348,8406308,933085,57584,8413866,-1064113,2821041,825037,146114,23325,928286,1060955,116265,92940,4436008,2012
84," ""51903""","Alleghany + Covington, VA*",496216,27769,56890,52794,424957,-2172,-2607,54166,766235,23056,34919,764063,-17093,119784,219322,21881,1463,20449,83287,9957,8494,392480,2012
85," ""51907""","Augusta, Staunton + Waynesboro, VA*",2589996,133874,303911,269600,2674449,33708,24351,268674,4371303,319415,37182,4405011,353127,813023,917539,118472,13232,343766,438711,61959,48727,1807519,2012
86," ""51911""","Campbell + Lynchburg, VA*",3906492,187373,425190,441784,2487109,2468,-86,408265,4488340,275199,33978,4490808,-1011118,790883,1212816,132169,12061,275113,646082,84807,72746,2985297,2012
87," ""51913""","Carroll + Galax, VA*",551590,33056,68002,60240,556384,3924,1274,63176,1082507,69642,29547,1086431,67970,155931,374116,36770,3463,70916,98122,16369,12906,382552,2012
88," ""51918""","Dinwiddie, Colonial Heights + Petersburg, VA*",1609811,81850,204541,180888,1531570,10923,9521,172294,2781639,97906,35983,2792562,94053,432468,828524,77607,7188,107427,294985,40585,33397,1207399,2012
89," ""51919""","Fairfax, Fairfax City + Falls Church, VA*",70057433,3046240,5851180,7291444,60490068,3271,774,6691962,83945004,6591018,72577,83948275,-2875403,18464677,4993530,1156684,167852,6591792,9496902,858111,690259,53968739,2012
